Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.61717,0.61101,0.78941,0.82770,0.64867,0.474,0.526
2,0.48993,0.47521,0.85253,0.87228,0.76792,0.520,0.480
3,0.44536,0.46870,0.85621,0.87333,0.77091,0.544,0.456
4,0.42746,0.43904,0.87561,0.89226,0.79320,0.568,0.432
5,0.38611,0.44530,0.87430,0.89036,0.78791,0.583,0.417
6,0.36793,0.41900,0.89294,0.90646,0.81089,0.610,0.390
7,0.32325,0.45018,0.87962,0.89424,0.79963,0.629,0.371
8,0.30704,0.40469,0.90332,0.91561,0.82422,0.656,0.344
9,0.25183,0.43461,0.89094,0.89925,0.80859,0.679,0.321
10,0.25003,0.40151,0.91302,0.92122,0.83525,0.707,0.293
11,0.17953,0.47361,0.88733,0.89273,0.80607,0.728,0.272
12,0.19151,0.43596,0.91512,0.92387,0.83755,0.750,0.250
13,0.11050,0.48988,0.89898,0.90475,0.82192,0.765,0.235
14,0.15390,0.48105,0.91563,0.92353,0.83938,0.781,0.219
15,0.06862,0.57959,0.89803,0.90196,0.82606,0.791,0.209
16,0.09976,0.52589,0.91587,0.91894,0.84605,0.810,0.190
17,0.03932,0.58188,0.90818,0.91631,0.83203,0.818,0.182
18,0.08099,0.56587,0.91803,0.92513,0.84720,0.841,0.159
19,0.02853,0.67700,0.91280,0.91889,0.83640,0.845,0.155
20,0.07193,0.59858,0.91888,0.92732,0.84145,0.842,0.158
21,0.72335,0.68192,0.91154,0.91874,0.82376,0.855,0.145
22,0.73423,0.66475,0.92239,0.92827,0.85202,0.868,0.132
23,0.70236,0.74795,0.90967,0.91845,0.83226,0.876,0.124
24,0.72091,0.68724,0.92070,0.92699,0.85064,0.896,0.104
25,0.68606,0.78721,0.91462,0.91865,0.84214,0.896,0.104
26,0.72545,0.68961,0.92023,0.92788,0.84972,0.893,0.107
27,0.68188,0.77422,0.90799,0.91572,0.82491,0.894,0.106
28,0.72553,0.62856,0.91859,0.92336,0.84444,0.907,0.093
29,0.65678,0.71617,0.91790,0.92225,0.84283,0.908,0.092
30,0.65480,0.72248,0.92173,0.92598,0.85179,0.910,0.090
31,0.62978,0.81665,0.91870,0.92536,0.84329,0.911,0.089
32,0.62578,0.79232,0.92377,0.92918,0.84949,0.911,0.089
33,0.60915,0.81843,0.92233,0.92977,0.84582,0.910,0.090
34,0.60220,0.79984,0.92594,0.93078,0.85363,0.907,0.093
35,0.59144,0.83499,0.91788,0.92540,0.84168,0.905,0.095
36,0.65032,0.64389,0.92019,0.92377,0.84926,0.911,0.089
37,0.58417,0.75877,0.91412,0.92261,0.84076,0.906,0.094
38,0.59879,0.67674,0.92081,0.92650,0.85317,0.904,0.096
39,0.54910,0.75559,0.92416,0.93136,0.85271,0.906,0.094
40,0.53579,0.79224,0.92579,0.93380,0.85639,0.907,0.093
41,0.52405,0.82806,0.92411,0.93232,0.85823,0.906,0.094
42,0.51226,0.83745,0.92739,0.93482,0.85685,0.905,0.095
43,0.50250,0.86412,0.92358,0.92816,0.84972,0.902,0.098
44,0.49697,0.89071,0.91931,0.92527,0.84972,0.903,0.097
45,0.48114,0.92224,0.92158,0.92818,0.85202,0.904,0.096
46,0.51543,0.67608,0.92228,0.92949,0.84651,0.910,0.090
47,0.47166,0.78907,0.91901,0.92846,0.84398,0.909,0.091
48,0.48943,0.69786,0.92505,0.93164,0.85294,0.914,0.086
49,0.44435,0.82331,0.92227,0.92936,0.85064,0.914,0.086
50,0.43708,0.82176,0.92425,0.93250,0.84903,0.910,0.090
51,0.42064,0.93106,0.91963,0.92496,0.85018,0.911,0.089
52,0.42669,0.83938,0.92137,0.92736,0.85041,0.911,0.089
53,0.40403,0.90580,0.91976,0.92477,0.84697,0.913,0.087
54,0.43995,0.69919,0.92318,0.92951,0.84949,0.919,0.081
55,0.39736,0.85555,0.92008,0.92536,0.84835,0.932,0.068
56,0.40766,0.77114,0.92556,0.93313,0.85110,0.921,0.079
57,0.37382,0.82320,0.92674,0.93223,0.85685,0.916,0.084
58,0.36211,0.84728,0.92843,0.93634,0.85639,0.920,0.080
59,0.35424,0.91145,0.92864,0.93587,0.85731,0.922,0.078
60,0.34564,0.91010,0.92728,0.93556,0.85294,0.923,0.077
61,0.33838,0.93456,0.92731,0.93446,0.85662,0.922,0.078
62,0.32896,0.91895,0.92909,0.93616,0.85754,0.922,0.078
63,0.32270,0.95346,0.92986,0.93792,0.85570,0.922,0.078
64,0.31619,0.92857,0.92767,0.93596,0.85432,0.921,0.079
65,0.30797,1.01106,0.92295,0.92989,0.84903,0.921,0.079
66,0.35783,0.68750,0.92472,0.93211,0.85271,0.907,0.093
67,0.30803,0.83949,0.91135,0.91545,0.84444,0.903,0.097
68,0.32401,0.71292,0.92679,0.93307,0.85593,0.899,0.101
69,0.28661,0.81100,0.92563,0.93481,0.84835,0.900,0.100
70,0.27777,0.84081,0.92725,0.93228,0.85892,0.903,0.097
71,0.27061,0.86205,0.92875,0.93357,0.85754,0.903,0.097
72,0.26368,0.89532,0.93078,0.93617,0.85777,0.903,0.097
73,0.25826,0.88169,0.93193,0.93804,0.86121,0.902,0.098
74,0.25030,0.89722,0.93233,0.93886,0.86144,0.900,0.100
75,0.24577,0.90975,0.93230,0.93873,0.86167,0.899,0.101
76,0.23787,0.91557,0.93226,0.93907,0.86236,0.898,0.102
77,0.23425,0.92426,0.92972,0.93675,0.85708,0.897,0.103
78,0.28764,0.62539,0.92618,0.93606,0.85915,0.897,0.103
79,0.23800,0.81915,0.91765,0.92338,0.84835,0.890,0.110
80,0.25553,0.74574,0.92280,0.93004,0.85087,0.882,0.118
81,0.22039,0.77184,0.92785,0.93428,0.85915,0.877,0.123
82,0.21791,0.81564,0.92837,0.93530,0.85800,0.872,0.128
83,0.20774,0.85876,0.92936,0.93528,0.86604,0.870,0.130
84,0.20278,0.86683,0.93067,0.93751,0.86466,0.867,0.133
85,0.19841,0.89930,0.93079,0.93777,0.86328,0.867,0.133
86,0.19284,0.89758,0.93120,0.93747,0.86489,0.866,0.134
87,0.19093,1.01459,0.92974,0.93714,0.86259,0.869,0.131
88,0.20841,0.79771,0.92635,0.93274,0.85960,0.882,0.118
89,0.19088,0.91451,0.91713,0.92286,0.84789,0.898,0.102
90,0.22641,0.69121,0.92781,0.93268,0.85915,0.904,0.096
91,0.18051,0.81723,0.92561,0.93263,0.85869,0.910,0.090
92,0.17675,0.79906,0.93083,0.93801,0.86305,0.909,0.091
93,0.17041,0.86288,0.92958,0.93603,0.85960,0.909,0.091
94,0.16877,0.88143,0.92886,0.93591,0.86029,0.909,0.091
95,0.16446,0.96347,0.92815,0.93682,0.86305,0.910,0.090
96,0.16607,0.91775,0.92776,0.93512,0.86236,0.912,0.088
97,0.15927,0.96230,0.91860,0.92165,0.84789,0.913,0.087
98,0.18408,0.79419,0.92638,0.93421,0.85892,0.909,0.091
99,0.16282,0.86121,0.92142,0.92995,0.84766,0.909,0.091
100,0.17547,0.76154,0.92734,0.93236,0.85547,0.899,0.101
101,0.15468,0.81676,0.92373,0.92886,0.84766,0.900,0.100
102,0.15590,0.82000,0.93013,0.93695,0.85731,0.899,0.101
103,0.14445,0.87426,0.93028,0.93550,0.86006,0.901,0.099
104,0.14293,0.92102,0.93049,0.93736,0.85685,0.899,0.101
