Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.61250,0.53768,0.80636,0.83342,0.71347,0.431,0.569
2,0.49976,0.47360,0.86054,0.87846,0.77160,0.456,0.544
3,0.44007,0.48370,0.86771,0.88122,0.76562,0.473,0.527
4,0.40539,0.43147,0.88571,0.89568,0.79550,0.494,0.506
5,0.36263,0.45592,0.87542,0.88824,0.78401,0.513,0.487
6,0.34990,0.39850,0.90247,0.91317,0.82054,0.523,0.477
7,0.28380,0.42940,0.88947,0.90099,0.80423,0.549,0.451
8,0.27083,0.39256,0.91228,0.92268,0.84053,0.581,0.419
9,0.19451,0.46086,0.89528,0.90674,0.80836,0.616,0.384
10,0.20403,0.42006,0.91430,0.92448,0.83709,0.645,0.355
11,0.12144,0.49548,0.90336,0.91520,0.81641,0.665,0.335
12,0.15069,0.48094,0.91605,0.92526,0.83915,0.685,0.315
13,0.06459,0.56563,0.89958,0.90792,0.81916,0.699,0.301
14,0.10046,0.52936,0.91718,0.92435,0.84168,0.725,0.275
15,0.02942,0.63278,0.90496,0.91134,0.83295,0.728,0.272
16,0.06579,0.60728,0.91783,0.92623,0.84903,0.739,0.261
17,0.02055,0.77756,0.90828,0.91355,0.82698,0.741,0.259
18,0.06513,0.62387,0.91755,0.92647,0.84559,0.748,0.252
19,0.01923,0.79243,0.90734,0.91580,0.81939,0.753,0.247
20,0.06930,0.65346,0.91682,0.92309,0.84260,0.759,0.241
21,0.04999,0.76052,0.91108,0.92083,0.83456,0.764,0.236
22,0.11847,0.71645,0.91674,0.92581,0.84214,0.762,0.238
23,0.11679,0.76686,0.91555,0.92435,0.84076,0.764,0.236
24,0.17404,0.74990,0.91856,0.92595,0.84605,0.767,0.233
25,0.18434,0.82692,0.91128,0.91840,0.83755,0.769,0.231
26,0.24361,0.79662,0.91921,0.92880,0.84237,0.778,0.222
27,0.25339,0.92642,0.91067,0.91970,0.83387,0.778,0.222
28,0.33612,0.73970,0.91817,0.92720,0.84605,0.789,0.211
29,0.32025,0.88640,0.91736,0.92706,0.84076,0.786,0.214
30,0.36901,0.81597,0.91762,0.92856,0.84099,0.796,0.204
31,0.34469,0.84676,0.91661,0.92735,0.84421,0.805,0.195
32,0.34674,0.85293,0.92176,0.93225,0.84053,0.807,0.193
33,0.33761,0.90985,0.92150,0.93191,0.84582,0.801,0.199
34,0.35187,0.92372,0.91609,0.92540,0.84214,0.795,0.205
35,0.33383,0.93879,0.91753,0.92804,0.84605,0.793,0.207
36,0.36855,0.78925,0.91798,0.92641,0.84720,0.801,0.199
37,0.33501,0.90083,0.91243,0.92198,0.83801,0.805,0.195
38,0.35703,0.82034,0.91897,0.92785,0.84743,0.808,0.192
39,0.32711,0.87755,0.91413,0.92193,0.83892,0.822,0.178
40,0.33751,0.81786,0.91943,0.92804,0.84076,0.850,0.150
41,0.31396,0.96149,0.91768,0.92530,0.84398,0.865,0.135
42,0.32035,0.88352,0.91906,0.92669,0.84903,0.891,0.109
43,0.30611,0.95642,0.91906,0.92818,0.84490,0.896,0.104
44,0.30350,0.98456,0.92038,0.92754,0.85156,0.905,0.095
45,0.29704,1.00969,0.91758,0.92466,0.84490,0.906,0.094
46,0.29466,1.01625,0.92108,0.92799,0.84972,0.910,0.090
47,0.28838,1.05077,0.92033,0.92813,0.84444,0.906,0.094
48,0.28364,1.02772,0.92168,0.92942,0.84766,0.905,0.095
49,0.27856,1.05664,0.92196,0.92957,0.84881,0.901,0.099
50,0.27204,1.06825,0.92292,0.93083,0.84881,0.891,0.109
51,0.26826,1.08144,0.92299,0.93096,0.84858,0.890,0.110
52,0.26140,1.09144,0.92284,0.93102,0.84881,0.887,0.113
53,0.25732,1.09973,0.92309,0.93141,0.84926,0.886,0.114
54,0.24992,1.10940,0.92309,0.93142,0.84835,0.885,0.115
55,0.24556,1.11552,0.92314,0.93141,0.84812,0.884,0.116
56,0.23772,1.12357,0.92297,0.93104,0.84743,0.882,0.118
57,0.23313,1.13240,0.92306,0.93130,0.84720,0.881,0.119
58,0.22495,1.13667,0.92318,0.93148,0.84628,0.879,0.121
59,0.22021,1.14262,0.92308,0.93132,0.84766,0.877,0.123
60,0.21182,1.15228,0.92300,0.93118,0.84720,0.874,0.126
61,0.20699,1.15710,0.92325,0.93161,0.84835,0.873,0.127
62,0.19852,1.16745,0.92326,0.93150,0.84766,0.871,0.129
