Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.62185,0.53166,0.80490,0.82830,0.74081,0.334,0.666
2,0.50007,0.47381,0.85578,0.86506,0.78102,0.334,0.666
3,0.44750,0.50118,0.85290,0.86172,0.75574,0.334,0.666
4,0.43598,0.44630,0.87599,0.88161,0.79779,0.334,0.666
5,0.40067,0.47473,0.86776,0.87616,0.76999,0.334,0.666
6,0.38609,0.42499,0.89007,0.89308,0.80790,0.334,0.666
7,0.34681,0.47587,0.87293,0.88030,0.78424,0.334,0.666
8,0.33905,0.41897,0.89896,0.90327,0.81618,0.334,0.666
9,0.29026,0.47968,0.89281,0.89815,0.78493,0.334,0.666
10,0.28979,0.41530,0.90681,0.90992,0.82790,0.334,0.666
11,0.37718,0.47851,0.89270,0.89629,0.80951,0.338,0.662
12,0.51541,0.45279,0.90911,0.91206,0.83364,0.341,0.659
13,0.60013,0.49526,0.89779,0.90069,0.81388,0.342,0.658
14,0.74329,0.48007,0.91048,0.91263,0.83364,0.343,0.657
15,0.80591,0.54933,0.89463,0.89542,0.80790,0.344,0.656
16,0.97987,0.50109,0.91331,0.91650,0.83938,0.349,0.651
17,1.02589,0.56339,0.90406,0.90633,0.82353,0.352,0.648
18,1.17348,0.56210,0.91482,0.91868,0.84030,0.354,0.646
19,1.23094,0.72331,0.90386,0.90733,0.82284,0.356,0.644
20,1.35663,0.62075,0.91385,0.91679,0.84191,0.359,0.641
21,1.28256,0.74014,0.90669,0.90826,0.82996,0.363,0.637
22,1.29116,0.66449,0.91510,0.91770,0.84398,0.370,0.630
23,1.22649,0.77915,0.91361,0.91671,0.82261,0.372,0.628
24,1.24423,0.68161,0.91337,0.91467,0.83915,0.375,0.625
25,1.16043,0.78710,0.91465,0.91720,0.84789,0.377,0.623
26,1.15129,0.76108,0.91612,0.91974,0.84122,0.383,0.617
27,1.09863,0.89971,0.91317,0.91371,0.83502,0.386,0.614
28,1.09459,0.81584,0.91220,0.91485,0.84076,0.389,0.611
29,1.04598,0.86519,0.91292,0.91181,0.84398,0.392,0.608
30,1.05717,0.77105,0.91534,0.91730,0.84467,0.396,0.604
31,1.00286,0.86196,0.90995,0.91384,0.83065,0.398,0.602
32,1.01465,0.76532,0.91770,0.92221,0.84467,0.403,0.597
33,0.94457,0.84728,0.91402,0.92011,0.83892,0.405,0.595
34,0.93682,0.78566,0.91840,0.92256,0.84972,0.409,0.591
35,0.88851,0.90913,0.91529,0.91915,0.83249,0.411,0.589
36,0.87410,0.87858,0.91869,0.92282,0.84283,0.414,0.586
37,0.83486,0.93608,0.91925,0.92333,0.84398,0.417,0.583
38,0.83649,0.83991,0.92039,0.92431,0.85156,0.421,0.579
39,0.79559,0.89391,0.91338,0.91550,0.83548,0.423,0.577
40,0.80132,0.80067,0.91743,0.91915,0.84214,0.427,0.573
41,0.75067,0.91481,0.91613,0.91796,0.83686,0.429,0.571
42,0.73467,0.87873,0.92030,0.92272,0.85271,0.433,0.567
