Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.61499,0.52002,0.82169,0.85083,0.73759,0.800,0.200
2,0.49785,0.46582,0.86105,0.87754,0.77528,0.837,0.163
3,0.45595,0.46011,0.86459,0.88117,0.78102,0.853,0.147
4,0.44210,0.44138,0.87624,0.88943,0.78906,0.867,0.133
5,0.40860,0.46501,0.87317,0.88710,0.78355,0.880,0.120
6,0.40126,0.42568,0.88727,0.89847,0.80446,0.899,0.101
7,0.35987,0.43691,0.88121,0.89404,0.79228,0.914,0.086
8,0.34848,0.40836,0.90038,0.91042,0.82123,0.916,0.084
9,0.29837,0.44171,0.88795,0.89995,0.80859,0.931,0.069
10,0.29234,0.41831,0.90544,0.91509,0.82721,0.927,0.073
11,0.23294,0.46794,0.89245,0.90386,0.80469,0.939,0.061
12,0.24156,0.42923,0.91056,0.91758,0.83640,0.925,0.075
13,0.17408,0.44480,0.90273,0.90843,0.83157,0.927,0.073
14,0.19804,0.48152,0.91152,0.91682,0.83180,0.930,0.070
15,0.12677,0.52775,0.89532,0.89851,0.81756,0.924,0.076
16,0.16008,0.51540,0.91372,0.91984,0.83594,0.905,0.095
17,0.08719,0.64665,0.88289,0.88587,0.79963,0.904,0.096
18,0.13951,0.54132,0.91392,0.92001,0.83686,0.908,0.092
19,0.05998,0.63419,0.90603,0.91025,0.82445,0.904,0.096
20,0.10455,0.58935,0.91497,0.92122,0.83732,0.913,0.087
21,0.25799,0.73402,0.91146,0.91693,0.82583,0.911,0.089
22,0.45121,0.61955,0.91591,0.92302,0.83617,0.910,0.090
23,0.53137,0.74738,0.90732,0.91408,0.82353,0.912,0.088
24,0.75093,0.57897,0.91755,0.92331,0.84076,0.912,0.088
25,0.81239,0.64429,0.91632,0.91792,0.84375,0.913,0.087
26,0.96644,0.68030,0.91525,0.92112,0.83778,0.915,0.085
27,1.04927,0.69982,0.91625,0.92282,0.84513,0.917,0.083
28,1.17816,0.75347,0.92037,0.92622,0.84375,0.920,0.080
29,1.27932,0.79413,0.90442,0.90796,0.82652,0.921,0.079
30,1.45774,0.69980,0.91857,0.92411,0.84214,0.919,0.081
31,1.37764,0.80077,0.91687,0.92028,0.83847,0.919,0.081
32,1.36833,0.73738,0.92152,0.92521,0.84972,0.924,0.076
33,1.32294,0.76803,0.91851,0.92452,0.84375,0.924,0.075
34,1.31522,0.78930,0.91976,0.92240,0.84536,0.924,0.076
35,1.27396,0.82093,0.91793,0.92239,0.84812,0.924,0.076
36,1.27141,0.78433,0.91835,0.92208,0.84536,0.924,0.076
37,1.22328,0.85233,0.91812,0.92198,0.84972,0.925,0.075
38,1.21628,0.81496,0.91948,0.92429,0.84329,0.926,0.074
39,1.17331,0.85211,0.91954,0.92512,0.84513,0.926,0.074
40,1.15969,0.79286,0.92272,0.92818,0.85110,0.923,0.077
41,1.11616,0.88730,0.91830,0.92297,0.84398,0.922,0.078
42,1.09634,0.81271,0.92671,0.93088,0.85455,0.920,0.080
43,1.06161,0.90122,0.92363,0.92673,0.85133,0.921,0.079
44,1.04147,0.87668,0.92553,0.93015,0.85294,0.924,0.076
45,1.00663,0.91624,0.92703,0.93352,0.86190,0.926,0.074
46,0.99863,0.84091,0.92482,0.93017,0.84582,0.924,0.076
47,0.96124,0.94532,0.91915,0.92125,0.85179,0.922,0.078
48,0.95669,0.82731,0.92182,0.93028,0.85156,0.925,0.075
49,0.91605,0.96939,0.90987,0.91831,0.83640,0.924,0.076
50,0.92617,0.71365,0.92508,0.93146,0.85501,0.923,0.077
51,0.86782,0.80722,0.91956,0.92581,0.84835,0.926,0.074
52,0.84856,0.83595,0.92514,0.93109,0.85087,0.929,0.071
53,0.81646,0.88478,0.92689,0.93441,0.84697,0.931,0.069
54,0.79359,0.87987,0.92556,0.93052,0.85317,0.930,0.070
55,0.77208,0.90886,0.92389,0.92844,0.85340,0.931,0.069
56,0.75490,0.87024,0.92778,0.93299,0.85133,0.931,0.069
57,0.73550,0.99827,0.92052,0.92463,0.83318,0.932,0.068
58,0.76811,0.70864,0.92419,0.93025,0.84582,0.922,0.078
59,0.69812,0.79157,0.92382,0.93220,0.84789,0.921,0.079
60,0.67818,0.82337,0.92895,0.93450,0.85363,0.925,0.075
61,0.65523,0.89760,0.92913,0.93533,0.85294,0.926,0.074
62,0.64304,0.93032,0.92584,0.93132,0.85225,0.927,0.073
63,0.62211,0.95615,0.92221,0.92520,0.85018,0.928,0.072
64,0.61411,0.94982,0.92677,0.93434,0.84789,0.934,0.066
65,0.59268,1.01276,0.92275,0.92942,0.85064,0.934,0.066
66,0.61384,0.79415,0.92600,0.93063,0.85731,0.924,0.076
67,0.56598,0.91621,0.92371,0.92831,0.84582,0.922,0.078
68,0.55666,0.88188,0.92869,0.93486,0.85777,0.930,0.070
69,0.53470,0.93644,0.92484,0.93111,0.85731,0.930,0.070
70,0.53076,0.86287,0.93218,0.93928,0.86121,0.938,0.062
71,0.51054,1.00292,0.92600,0.93136,0.85156,0.939,0.061
72,0.51472,0.88025,0.92651,0.93251,0.85800,0.942,0.058
73,0.49295,0.90068,0.92473,0.93251,0.85478,0.945,0.055
74,0.49449,0.83553,0.93011,0.93445,0.85524,0.947,0.053
75,0.46699,0.88548,0.92604,0.93006,0.85547,0.946,0.054
76,0.46170,0.89774,0.92627,0.93166,0.85777,0.950,0.050
77,0.44587,1.01520,0.92396,0.93079,0.84076,0.952,0.048
78,0.44081,0.90139,0.92909,0.93317,0.85524,0.956,0.044
79,0.42425,0.99918,0.92346,0.93113,0.84628,0.956,0.044
80,0.45107,0.77263,0.92845,0.93465,0.85064,0.953,0.047
81,0.40797,0.86229,0.92953,0.93559,0.85478,0.952,0.048
82,0.39841,0.88772,0.93068,0.93632,0.86190,0.960,0.040
83,0.38779,0.98061,0.92824,0.93391,0.85271,0.961,0.039
84,0.38045,0.92395,0.93251,0.93840,0.86328,0.959,0.041
85,0.37122,0.97491,0.93081,0.93703,0.85823,0.958,0.042
86,0.36151,1.00026,0.93111,0.93782,0.86236,0.959,0.041
87,0.35683,1.03150,0.92820,0.93426,0.86029,0.959,0.041
88,0.39869,0.68949,0.92935,0.93533,0.85731,0.953,0.047
89,0.34795,0.84002,0.92600,0.93084,0.85455,0.952,0.048
90,0.35285,0.81103,0.93032,0.93504,0.85593,0.953,0.047
91,0.33282,0.88384,0.92995,0.93626,0.85409,0.955,0.045
92,0.33089,0.88683,0.93239,0.93697,0.86190,0.960,0.040
93,0.31951,0.94220,0.93026,0.93636,0.85501,0.962,0.038
94,0.32457,0.96394,0.92941,0.93592,0.85938,0.964,0.036
95,0.31099,0.97470,0.93016,0.93673,0.86305,0.965,0.035
96,0.33058,0.83739,0.92891,0.93497,0.85593,0.957,0.043
97,0.30215,0.88685,0.92579,0.93027,0.85869,0.957,0.043
98,0.29999,0.91736,0.93165,0.93766,0.85869,0.957,0.043
99,0.28906,0.95679,0.92485,0.93030,0.85271,0.956,0.044
100,0.29635,0.92477,0.93029,0.93631,0.85340,0.959,0.041
101,0.28108,1.04965,0.92872,0.93343,0.84835,0.960,0.040
102,0.28193,0.95632,0.93123,0.93530,0.86190,0.955,0.045
103,0.27282,1.09409,0.92667,0.93380,0.84949,0.955,0.045
104,0.31135,0.77590,0.92862,0.93491,0.85294,0.954,0.046
105,0.26763,0.90231,0.92919,0.93667,0.84306,0.952,0.048
106,0.26419,0.84668,0.93357,0.93963,0.86029,0.954,0.046
107,0.25885,0.95829,0.93067,0.93752,0.85156,0.954,0.046
108,0.25509,0.88620,0.93460,0.94143,0.86236,0.953,0.047
109,0.25042,0.90352,0.93554,0.94204,0.86075,0.952,0.048
110,0.24567,0.92607,0.93572,0.94158,0.86420,0.953,0.047
111,0.24289,0.93180,0.93571,0.94142,0.86535,0.953,0.047
112,0.23806,0.94992,0.93584,0.94179,0.86558,0.953,0.047
113,0.23521,0.95610,0.93598,0.94195,0.86673,0.953,0.047
114,0.23021,0.96947,0.93603,0.94232,0.86650,0.954,0.046
115,0.22731,0.97852,0.93573,0.94180,0.86788,0.954,0.046
116,0.22222,0.99034,0.93576,0.94208,0.86604,0.954,0.046
117,0.21931,0.99395,0.93590,0.94218,0.86742,0.954,0.046
118,0.21444,1.00293,0.93560,0.94166,0.86650,0.954,0.046
119,0.21191,1.01277,0.93529,0.94122,0.86788,0.954,0.046
120,0.20794,1.01918,0.93574,0.94201,0.86857,0.953,0.047
121,0.20556,1.02683,0.93530,0.94137,0.86994,0.953,0.047
122,0.20184,1.03624,0.93584,0.94211,0.86972,0.953,0.047
123,0.19958,1.05209,0.93527,0.94119,0.86834,0.953,0.047
124,0.19481,1.05935,0.93490,0.94088,0.86857,0.953,0.047
125,0.19221,1.06081,0.93499,0.94102,0.87017,0.953,0.047
126,0.18753,1.07630,0.93488,0.94108,0.87040,0.952,0.048
127,0.18489,1.08041,0.93461,0.94050,0.87132,0.952,0.048
