Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.61043,0.60256,0.83019,0.85529,0.68199,0.607,0.393
2,0.48746,0.45559,0.86532,0.88200,0.78539,0.688,0.312
3,0.44904,0.47766,0.85603,0.87556,0.76654,0.722,0.278
4,0.42942,0.42686,0.88409,0.89510,0.80124,0.763,0.237
5,0.39653,0.43140,0.88624,0.89988,0.79963,0.782,0.218
6,0.37089,0.40376,0.90060,0.90826,0.82445,0.818,0.182
7,0.33212,0.46169,0.89453,0.90410,0.79527,0.846,0.154
8,0.30809,0.38896,0.91212,0.91867,0.83617,0.879,0.121
9,0.25633,0.39418,0.90680,0.91529,0.82629,0.900,0.100
10,0.23904,0.39286,0.92023,0.92711,0.84536,0.910,0.090
11,0.17354,0.44070,0.91211,0.91840,0.83341,0.931,0.069
12,0.17660,0.42579,0.92249,0.92971,0.84812,0.948,0.052
13,0.10272,0.48998,0.90871,0.91626,0.82767,0.955,0.045
14,0.12419,0.47433,0.92428,0.92951,0.84972,0.959,0.041
15,0.05157,0.60319,0.91362,0.91885,0.83249,0.962,0.038
16,0.10356,0.48991,0.92948,0.93518,0.85960,0.961,0.039
17,0.03844,0.60416,0.92130,0.92766,0.84743,0.961,0.039
18,0.07951,0.55784,0.92630,0.93272,0.85662,0.961,0.039
19,0.02109,0.64129,0.92251,0.92880,0.85133,0.964,0.036
20,0.04446,0.62871,0.92708,0.93114,0.86374,0.967,0.033
21,0.71902,0.81013,0.91864,0.92194,0.83272,0.970,0.030
22,0.74905,0.64466,0.92833,0.93518,0.85846,0.966,0.034
23,0.70349,0.67897,0.92083,0.92738,0.84926,0.965,0.035
24,0.73587,0.63533,0.92643,0.93189,0.85892,0.967,0.033
25,0.68123,0.75019,0.92524,0.93050,0.85869,0.971,0.029
26,0.68876,0.72130,0.92683,0.93240,0.85731,0.965,0.035
27,0.66327,0.92632,0.91944,0.92834,0.84628,0.962,0.038
28,0.69869,0.67973,0.92804,0.93340,0.86190,0.962,0.038
29,0.65160,0.74727,0.92504,0.92962,0.85317,0.964,0.036
30,0.66593,0.68508,0.93001,0.93419,0.86719,0.967,0.033
31,0.62612,0.76310,0.92668,0.93402,0.85960,0.972,0.028
32,0.61677,0.77267,0.93176,0.93654,0.86650,0.971,0.029
33,0.59982,0.82540,0.93271,0.93803,0.86604,0.970,0.030
34,0.59213,0.84679,0.92914,0.93510,0.86029,0.969,0.031
35,0.58095,0.90369,0.92681,0.93027,0.86075,0.966,0.034
36,0.60336,0.77862,0.92620,0.92894,0.85915,0.961,0.039
37,0.57257,0.88738,0.91764,0.92457,0.83594,0.958,0.042
38,0.59608,0.65807,0.93101,0.93689,0.86397,0.936,0.064
39,0.54193,0.77471,0.92599,0.93368,0.85800,0.923,0.077
40,0.54536,0.78796,0.92866,0.93355,0.85983,0.925,0.075
41,0.51641,0.86473,0.92972,0.93618,0.85915,0.933,0.067
42,0.51279,0.81524,0.92932,0.93502,0.86834,0.934,0.066
43,0.49389,0.93098,0.92989,0.93605,0.86581,0.935,0.065
44,0.48870,0.86948,0.92980,0.93530,0.86512,0.930,0.070
45,0.47338,0.86922,0.92638,0.93171,0.85892,0.931,0.069
46,0.49725,0.76610,0.92678,0.93126,0.86144,0.925,0.075
47,0.45677,0.83034,0.92534,0.93162,0.85478,0.927,0.073
48,0.45291,0.85917,0.92841,0.93338,0.86213,0.937,0.063
49,0.43444,0.89348,0.92345,0.92701,0.85317,0.948,0.052
50,0.45646,0.74475,0.92813,0.93528,0.86374,0.959,0.041
51,0.41626,0.85310,0.92909,0.93367,0.84995,0.958,0.042
52,0.40758,0.85893,0.93087,0.93743,0.86397,0.965,0.035
53,0.39386,0.88902,0.93012,0.93594,0.86305,0.965,0.035
54,0.38150,0.92448,0.93073,0.93745,0.86259,0.964,0.036
55,0.37385,0.92647,0.93200,0.93815,0.86512,0.964,0.036
56,0.36165,0.94367,0.93240,0.93870,0.86466,0.965,0.035
57,0.35468,0.95809,0.93235,0.93891,0.86558,0.965,0.035
58,0.34252,0.96873,0.93224,0.93851,0.86466,0.964,0.036
59,0.33555,0.98087,0.93207,0.93859,0.86512,0.963,0.037
60,0.32352,1.00070,0.93232,0.93910,0.86259,0.962,0.038
61,0.31881,1.08476,0.92131,0.92826,0.84306,0.961,0.039
62,0.42276,0.54926,0.93063,0.93688,0.86558,0.968,0.032
63,0.31706,0.68418,0.92288,0.92905,0.85409,0.966,0.034
