Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.60786,0.50992,0.82919,0.85327,0.74150,0.382,0.618
2,0.49184,0.47296,0.85981,0.87771,0.76861,0.418,0.582
3,0.44283,0.46525,0.85896,0.87589,0.77964,0.427,0.573
4,0.43571,0.44856,0.87531,0.88943,0.78516,0.439,0.561
5,0.38923,0.45929,0.86622,0.88349,0.79113,0.445,0.555
6,0.38339,0.42533,0.88995,0.90227,0.80538,0.456,0.544
7,0.32323,0.44506,0.88579,0.89645,0.80170,0.471,0.529
8,0.31996,0.41934,0.89804,0.90890,0.82008,0.500,0.500
9,0.25741,0.47775,0.88204,0.89312,0.79642,0.524,0.476
10,0.25518,0.43809,0.90035,0.91072,0.82192,0.548,0.452
11,0.17892,0.51631,0.88866,0.89850,0.80239,0.577,0.423
12,0.18991,0.46918,0.90573,0.91378,0.83019,0.590,0.410
13,0.12379,0.52955,0.88801,0.90191,0.79779,0.613,0.387
14,0.16386,0.51158,0.90720,0.91811,0.82881,0.669,0.331
15,0.08303,0.61325,0.89083,0.90401,0.81756,0.689,0.311
16,0.11877,0.56606,0.90932,0.91936,0.83617,0.711,0.289
17,0.05466,0.66243,0.90198,0.91264,0.82169,0.722,0.278
18,0.09532,0.62168,0.90814,0.91868,0.83318,0.737,0.263
19,0.03185,0.75964,0.89540,0.90797,0.81687,0.748,0.252
20,0.07043,0.68662,0.90822,0.91946,0.83272,0.757,0.243
21,0.72445,0.75398,0.90619,0.91581,0.83203,0.763,0.237
22,0.74641,0.74851,0.90808,0.91966,0.83180,0.769,0.231
23,0.70811,0.83284,0.90015,0.91239,0.82675,0.773,0.227
24,0.72901,0.79549,0.90586,0.91701,0.82835,0.778,0.222
25,0.70211,0.93276,0.89417,0.90682,0.80078,0.781,0.219
26,0.74598,0.74800,0.90634,0.91968,0.83249,0.776,0.224
27,0.68239,0.82649,0.90694,0.91687,0.83410,0.775,0.225
28,0.68768,0.81022,0.90930,0.92179,0.83479,0.776,0.224
