Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.64918,0.57039,0.76174,0.78651,0.69393,0.489,0.511
2,0.53717,0.50359,0.82798,0.84407,0.75873,0.471,0.529
3,0.49005,0.50990,0.83763,0.84907,0.75827,0.469,0.531
4,0.45965,0.46518,0.86291,0.86980,0.78194,0.477,0.523
5,0.41885,0.47115,0.86588,0.87137,0.78010,0.488,0.512
6,0.39783,0.45871,0.88236,0.88481,0.79412,0.499,0.501
7,0.34996,0.44773,0.88285,0.88736,0.79802,0.522,0.478
8,0.33774,0.45640,0.89446,0.89513,0.80584,0.544,0.456
9,0.28314,0.44724,0.88995,0.89222,0.81089,0.577,0.423
10,0.28825,0.47530,0.89653,0.89740,0.81273,0.613,0.387
11,0.22799,0.47467,0.89218,0.89409,0.80974,0.645,0.355
12,0.23632,0.46922,0.90539,0.90530,0.83065,0.671,0.329
13,0.17140,0.61029,0.89129,0.89463,0.79848,0.697,0.303
14,0.18530,0.51741,0.90404,0.90620,0.82652,0.719,0.281
15,0.12027,0.53206,0.89854,0.89910,0.82215,0.744,0.256
16,0.14063,0.54623,0.91017,0.91144,0.83410,0.775,0.225
17,0.07054,0.70237,0.89806,0.89773,0.80836,0.789,0.211
18,0.13679,0.55860,0.91148,0.91183,0.83525,0.797,0.203
19,0.05936,0.67078,0.90263,0.90334,0.83065,0.800,0.200
20,0.09618,0.62696,0.91305,0.91412,0.83915,0.819,0.181
21,0.73948,0.72264,0.90882,0.90981,0.83617,0.821,0.179
22,0.76134,0.70967,0.91143,0.91127,0.83249,0.827,0.173
23,0.71793,0.82149,0.89962,0.89761,0.82031,0.829,0.171
24,0.75719,0.67752,0.91552,0.91823,0.84329,0.830,0.170
25,0.69753,0.81219,0.90930,0.91387,0.83892,0.827,0.173
26,0.71065,0.77325,0.91475,0.91640,0.83938,0.845,0.155
27,0.67789,0.84636,0.90435,0.90548,0.82537,0.842,0.158
28,0.71240,0.78410,0.91218,0.91611,0.83502,0.849,0.151
