Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.60972,0.51857,0.81967,0.84756,0.73667,0.373,0.627
2,0.49453,0.47256,0.86009,0.87763,0.76953,0.398,0.602
3,0.44240,0.45959,0.86366,0.87933,0.78608,0.405,0.595
4,0.43139,0.44468,0.87728,0.88990,0.78768,0.413,0.587
5,0.38553,0.45470,0.87358,0.88806,0.78378,0.419,0.581
6,0.37430,0.41441,0.89460,0.90566,0.80859,0.429,0.571
7,0.31826,0.45330,0.88136,0.89273,0.79986,0.443,0.557
8,0.31544,0.41059,0.90027,0.90946,0.82399,0.462,0.538
9,0.25123,0.48557,0.87896,0.89158,0.79435,0.482,0.518
10,0.24424,0.42737,0.90440,0.91448,0.83180,0.512,0.488
11,0.17847,0.47064,0.89581,0.90909,0.81572,0.536,0.464
12,0.19403,0.45161,0.90643,0.91581,0.83318,0.553,0.447
13,0.11094,0.61720,0.88996,0.90346,0.77803,0.578,0.422
14,0.14954,0.49362,0.91180,0.92220,0.84283,0.604,0.396
15,0.06730,0.57703,0.90145,0.91293,0.81870,0.624,0.376
16,0.10761,0.57866,0.90914,0.92107,0.82950,0.642,0.358
17,0.04314,0.76771,0.89923,0.91107,0.81204,0.658,0.342
18,0.07700,0.62004,0.91278,0.92304,0.83548,0.670,0.330
19,0.02878,0.72890,0.90385,0.91339,0.82330,0.685,0.315
20,0.06102,0.66639,0.91337,0.92300,0.84260,0.699,0.301
21,0.72611,0.79069,0.90835,0.91888,0.83663,0.704,0.296
22,0.75123,0.72974,0.91073,0.92251,0.83801,0.708,0.292
23,0.70872,0.79435,0.90695,0.91552,0.82238,0.706,0.294
24,0.73182,0.73883,0.91359,0.92473,0.83892,0.705,0.295
25,0.68932,0.82782,0.91170,0.92153,0.83525,0.703,0.297
26,0.70347,0.79029,0.91345,0.92401,0.83663,0.723,0.277
27,0.67664,0.91818,0.90061,0.91028,0.81250,0.737,0.263
28,0.71477,0.76701,0.91008,0.92075,0.83663,0.688,0.312
29,0.65996,0.95960,0.90481,0.91494,0.83065,0.683,0.317
30,0.67352,0.80569,0.91426,0.92248,0.83892,0.689,0.311
