Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.63613,0.51673,0.81588,0.83427,0.74288,0.655,0.345
2,0.48077,0.46070,0.86331,0.87110,0.79021,0.655,0.345
3,0.43320,0.47203,0.85746,0.86386,0.77505,0.655,0.345
4,0.42306,0.44791,0.87300,0.87909,0.79642,0.655,0.345
5,0.38343,0.45629,0.87074,0.87649,0.79067,0.655,0.345
6,0.36394,0.43614,0.88778,0.89077,0.80653,0.655,0.345
7,0.32228,0.46503,0.87927,0.88163,0.78906,0.655,0.345
8,0.32485,0.42994,0.89674,0.89783,0.81572,0.655,0.345
9,0.27337,0.48241,0.88508,0.88906,0.79113,0.655,0.345
10,0.27756,0.45912,0.89826,0.90014,0.81618,0.655,0.345
11,0.22352,0.47498,0.87907,0.88444,0.80331,0.655,0.345
12,0.23545,0.47405,0.89794,0.89794,0.82077,0.655,0.345
13,0.16832,0.48259,0.88965,0.89253,0.81365,0.655,0.345
14,0.19961,0.49387,0.90208,0.90365,0.82353,0.655,0.345
15,0.13165,0.55805,0.89869,0.89922,0.82100,0.655,0.345
16,0.15558,0.55468,0.90248,0.90200,0.82583,0.655,0.345
17,0.08649,0.64053,0.88862,0.88830,0.81388,0.655,0.345
18,0.12459,0.60172,0.90574,0.90745,0.82973,0.655,0.345
19,0.06602,0.66719,0.89597,0.89556,0.81893,0.655,0.345
20,0.12730,0.61094,0.90533,0.90473,0.82973,0.655,0.345
21,0.75526,0.74843,0.89690,0.89166,0.82054,0.655,0.345
22,0.77983,0.68855,0.90496,0.90464,0.82721,0.654,0.346
23,0.72525,0.79662,0.89808,0.90018,0.82376,0.653,0.347
24,0.73883,0.77396,0.90701,0.90680,0.83364,0.652,0.348
25,0.70042,0.82952,0.89984,0.89579,0.83111,0.652,0.348
26,0.74352,0.72857,0.90559,0.90413,0.83640,0.651,0.349
27,0.69381,0.83644,0.90075,0.90261,0.82261,0.650,0.350
28,0.73449,0.75410,0.90548,0.90414,0.83456,0.649,0.351
29,0.66805,0.84028,0.90276,0.90437,0.82652,0.648,0.352
