Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.61383,0.50199,0.82499,0.85368,0.74977,0.387,0.613
2,0.49252,0.46934,0.85965,0.87847,0.77045,0.418,0.582
3,0.44828,0.49166,0.85466,0.87409,0.74701,0.425,0.575
4,0.43789,0.45778,0.87315,0.88872,0.77918,0.437,0.563
5,0.39754,0.44661,0.87518,0.88986,0.78768,0.450,0.550
6,0.39594,0.43490,0.88388,0.89863,0.79481,0.461,0.539
7,0.34665,0.47413,0.87228,0.88575,0.78516,0.480,0.520
8,0.34123,0.44059,0.89060,0.90295,0.81181,0.507,0.493
9,0.29402,0.51957,0.87170,0.88766,0.78286,0.528,0.472
10,0.28595,0.46069,0.89136,0.90095,0.81112,0.550,0.450
11,0.22668,0.46011,0.88530,0.89397,0.80170,0.577,0.423
12,0.23733,0.48853,0.89613,0.90415,0.82146,0.598,0.402
13,0.17630,0.51708,0.88195,0.89563,0.79481,0.620,0.380
14,0.19629,0.52433,0.89354,0.90154,0.81801,0.635,0.365
15,0.12680,0.63266,0.88496,0.89689,0.80170,0.651,0.349
16,0.18058,0.55333,0.89563,0.90349,0.81962,0.671,0.329
17,0.09425,0.74004,0.89155,0.89935,0.80377,0.686,0.314
18,0.13861,0.63766,0.89337,0.89977,0.81801,0.690,0.310
19,0.07000,0.73208,0.88422,0.89038,0.80193,0.698,0.302
20,0.11618,0.66547,0.89503,0.90230,0.82192,0.695,0.305
21,0.05351,0.80990,0.86543,0.87037,0.78722,0.702,0.298
22,0.08692,0.75093,0.88921,0.89677,0.81687,0.714,0.286
23,0.04144,0.84952,0.88487,0.89123,0.80699,0.725,0.275
24,0.09368,0.76605,0.89074,0.89703,0.82100,0.726,0.274
25,0.03657,0.93291,0.87423,0.87961,0.79550,0.722,0.278
26,0.08608,0.82920,0.88849,0.89844,0.81365,0.780,0.220
27,0.03110,0.94318,0.88783,0.89039,0.81664,0.807,0.193
28,0.06657,0.81908,0.89113,0.89912,0.81733,0.800,0.200
29,0.02946,0.84562,0.88945,0.89978,0.81985,0.797,0.203
30,0.05515,0.90085,0.89240,0.89964,0.81916,0.803,0.197
31,0.02061,0.98830,0.89277,0.89598,0.82169,0.806,0.194
32,0.05027,0.90560,0.89393,0.90231,0.82100,0.838,0.162
33,0.02057,0.99061,0.88808,0.89945,0.80836,0.846,0.154
34,0.06471,0.92464,0.88779,0.88957,0.81710,0.861,0.139
35,0.02226,0.98233,0.89296,0.89684,0.82123,0.866,0.134
36,0.03586,0.98062,0.89230,0.89448,0.81916,0.864,0.136
37,0.01401,1.02779,0.89230,0.90072,0.81296,0.862,0.138
38,0.02986,1.02522,0.89162,0.89961,0.81847,0.866,0.134
39,0.01298,1.17976,0.88628,0.89273,0.81388,0.869,0.131
40,0.04231,0.99970,0.89185,0.89753,0.81939,0.871,0.129
41,0.01821,1.10615,0.87928,0.88435,0.80423,0.872,0.128
42,0.07118,0.88581,0.88998,0.89582,0.81457,0.861,0.139
