Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.60307,0.51778,0.82872,0.66068,0.77124,0.497,0.503
2,0.50264,0.47007,0.85674,0.71543,0.78687,0.499,0.501
3,0.48155,0.55476,0.85022,0.70496,0.65088,0.504,0.496
4,0.47843,0.46104,0.86282,0.72750,0.79297,0.522,0.478
5,0.46221,0.48310,0.85806,0.72396,0.74365,0.547,0.453
6,0.44507,0.43104,0.88177,0.76475,0.81787,0.576,0.424
7,0.41873,0.44659,0.87922,0.76158,0.76904,0.605,0.395
8,0.40376,0.40238,0.89868,0.79675,0.82886,0.651,0.349
9,0.42656,1.23520,0.76985,0.55959,0.29858,0.677,0.323
10,0.58332,0.56978,0.79239,0.61149,0.76587,0.841,0.159
11,0.55058,0.79566,0.79839,0.61814,0.43921,0.858,0.142
12,0.53369,0.65208,0.80750,0.63034,0.78345,0.860,0.140
13,0.52456,0.59323,0.81095,0.63950,0.62744,0.859,0.141
14,0.52034,0.51506,0.82623,0.65692,0.77124,0.866,0.134
15,0.51036,0.51995,0.82331,0.65361,0.75488,0.865,0.135
16,0.51030,0.53754,0.83062,0.66856,0.69824,0.867,0.133
17,0.49641,0.54163,0.82285,0.64866,0.71094,0.866,0.134
18,0.49471,0.51738,0.84038,0.68455,0.71143,0.862,0.138
19,0.48313,0.63099,0.82323,0.64858,0.63062,0.860,0.140
20,0.48879,0.78268,0.80325,0.63544,0.45630,0.854,0.146
21,1.18344,0.87531,0.81201,0.64710,0.38916,0.886,0.114
22,1.18101,0.70670,0.83274,0.68231,0.54858,0.914,0.086
23,1.16110,0.86514,0.78901,0.60321,0.47461,0.943,0.057
24,1.14860,0.73523,0.81879,0.64671,0.52612,0.934,0.066
25,1.13419,0.83864,0.81943,0.63399,0.50464,0.932,0.068
26,1.12357,0.79104,0.83489,0.67714,0.52930,0.929,0.071
27,1.10737,0.84978,0.83345,0.67568,0.48413,0.931,0.069
28,1.09911,0.94724,0.83531,0.68323,0.47534,0.933,0.067
29,1.08587,1.15089,0.83891,0.69954,0.41357,0.919,0.081
30,1.07873,1.26468,0.86070,0.72610,0.40283,0.923,0.077
31,1.05899,1.13318,0.84735,0.70318,0.47681,0.927,0.073
32,1.05154,1.14160,0.85324,0.71025,0.44092,0.937,0.063
33,1.02945,0.97401,0.84043,0.69610,0.47852,0.938,0.062
34,1.02713,1.01160,0.85477,0.71402,0.49292,0.934,0.066
35,1.00991,0.92864,0.84364,0.69682,0.51270,0.931,0.069
36,1.00950,0.94360,0.84866,0.70172,0.49634,0.935,0.065
37,0.98742,1.17548,0.84833,0.69801,0.44482,0.933,0.067
38,0.98309,0.95106,0.85147,0.70915,0.51050,0.942,0.058
