y_true,y_prob,prob_std
0.000000000000000000e+00,6.635271012783050537e-02,6.428483873605728149e-02
0.000000000000000000e+00,1.804154217243194580e-01,1.616693586111068726e-01
1.000000000000000000e+00,8.475610017776489258e-01,7.226614654064178467e-02
0.000000000000000000e+00,7.350082397460937500e-01,5.952301993966102600e-02
0.000000000000000000e+00,7.012460827827453613e-01,1.053804606199264526e-01
0.000000000000000000e+00,6.391019821166992188e-01,2.242604494094848633e-01
0.000000000000000000e+00,2.509390711784362793e-01,1.623152941465377808e-01
0.000000000000000000e+00,7.346605062484741211e-01,9.915511310100555420e-02
0.000000000000000000e+00,1.813223212957382202e-01,1.442174166440963745e-01
1.000000000000000000e+00,9.869045019149780273e-01,8.256074972450733185e-03
0.000000000000000000e+00,5.515465140342712402e-02,3.707168623805046082e-02
1.000000000000000000e+00,8.033238649368286133e-01,1.995809376239776611e-01
0.000000000000000000e+00,1.904856413602828979e-01,5.252964049577713013e-02
0.000000000000000000e+00,1.127387136220932007e-01,3.210579231381416321e-02
0.000000000000000000e+00,6.010974645614624023e-01,1.092954948544502258e-01
0.000000000000000000e+00,2.357104569673538208e-01,2.561089694499969482e-01
0.000000000000000000e+00,4.848268628120422363e-01,1.510809659957885742e-01
0.000000000000000000e+00,2.067755721509456635e-02,1.318075042217969894e-02
1.000000000000000000e+00,4.561921954154968262e-01,2.664261460304260254e-01
1.000000000000000000e+00,9.281131029129028320e-01,3.923454880714416504e-02
1.000000000000000000e+00,8.755196332931518555e-01,6.098110228776931763e-02
0.000000000000000000e+00,5.841343402862548828e-01,1.565154045820236206e-01
0.000000000000000000e+00,1.756081879138946533e-01,1.659426540136337280e-01
1.000000000000000000e+00,9.386183619499206543e-01,4.607643932104110718e-02
0.000000000000000000e+00,1.176789030432701111e-01,3.514179959893226624e-02
0.000000000000000000e+00,5.696746706962585449e-01,2.461044341325759888e-01
0.000000000000000000e+00,4.146674275398254395e-01,2.240456640720367432e-01
0.000000000000000000e+00,1.107920631766319275e-01,7.344491779804229736e-02
0.000000000000000000e+00,6.994701027870178223e-01,6.643047928810119629e-02
0.000000000000000000e+00,4.147634506225585938e-01,1.297691166400909424e-01
1.000000000000000000e+00,6.283224225044250488e-01,1.014947369694709778e-01
0.000000000000000000e+00,2.726102434098720551e-02,3.956050425767898560e-02
0.000000000000000000e+00,1.345619410276412964e-01,1.538506597280502319e-01
0.000000000000000000e+00,1.251724958419799805e-01,8.066947013139724731e-02
0.000000000000000000e+00,6.792938709259033203e-02,6.828936934471130371e-02
1.000000000000000000e+00,7.610250711441040039e-01,6.770842522382736206e-02
0.000000000000000000e+00,3.094793260097503662e-01,1.565081328153610229e-01
0.000000000000000000e+00,1.985467672348022461e-01,1.619455218315124512e-01
1.000000000000000000e+00,8.867020606994628906e-01,3.950120881199836731e-02
0.000000000000000000e+00,3.177145123481750488e-01,1.286974996328353882e-01
0.000000000000000000e+00,1.639926582574844360e-01,4.498867318034172058e-02
1.000000000000000000e+00,4.671309590339660645e-01,1.516855061054229736e-01
0.000000000000000000e+00,2.313103377819061279e-01,1.760963499546051025e-01
1.000000000000000000e+00,8.281549215316772461e-01,6.040042638778686523e-02
0.000000000000000000e+00,1.746338754892349243e-01,1.569508463144302368e-01
0.000000000000000000e+00,6.710390448570251465e-01,1.333651542663574219e-01
