Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.62057,0.57949,0.79352,0.63516,0.77661,0.338,0.662
2,0.51896,0.49823,0.83515,0.70469,0.76270,0.294,0.706
3,0.48368,0.49986,0.83725,0.69623,0.78296,0.316,0.684
4,0.46351,0.45633,0.86540,0.74304,0.79175,0.332,0.668
5,0.42948,0.46086,0.86295,0.73675,0.77734,0.337,0.663
6,0.41115,0.41890,0.88858,0.77573,0.80908,0.337,0.663
7,0.37538,0.43612,0.88269,0.76232,0.82056,0.352,0.648
8,0.35800,0.40272,0.90297,0.80208,0.83447,0.352,0.648
9,0.31340,0.44254,0.88778,0.77613,0.82642,0.332,0.668
10,0.29235,0.40975,0.90625,0.80843,0.83838,0.276,0.724
11,0.23090,0.46982,0.88378,0.75439,0.82959,0.280,0.720
12,0.22573,0.42601,0.90525,0.80885,0.84058,0.287,0.713
13,0.15754,0.52030,0.88914,0.78047,0.81689,0.305,0.695
14,0.19060,0.47188,0.90176,0.80783,0.84106,0.288,0.712
15,0.09985,0.57894,0.89182,0.78846,0.83228,0.309,0.691
16,0.13537,0.56442,0.89884,0.80564,0.84326,0.320,0.680
17,0.06576,0.66494,0.87947,0.76993,0.82056,0.343,0.657
18,0.10814,0.63267,0.89151,0.79558,0.83350,0.349,0.651
19,0.04153,0.69372,0.89621,0.80283,0.84399,0.365,0.635
20,0.09265,0.67889,0.90097,0.81193,0.85205,0.386,0.614
21,0.73561,0.81007,0.89699,0.79442,0.84082,0.403,0.597
22,0.75650,0.73246,0.89864,0.80775,0.84595,0.402,0.598
23,0.68703,0.87052,0.88540,0.79174,0.83740,0.418,0.582
24,0.69228,0.83131,0.89514,0.79617,0.84619,0.432,0.568
25,0.64084,0.89944,0.89208,0.79631,0.83911,0.444,0.556
26,0.66477,0.82968,0.89602,0.80033,0.84351,0.465,0.535
27,0.60230,0.90796,0.89222,0.78697,0.83594,0.476,0.524
28,0.60389,0.87223,0.89269,0.79118,0.84375,0.471,0.529
29,0.54799,0.96421,0.89230,0.79415,0.84399,0.479,0.521
30,0.54186,0.94556,0.89510,0.79575,0.84399,0.488,0.512
31,0.50781,1.07021,0.88385,0.77156,0.83618,0.488,0.512
32,0.54823,0.83208,0.89423,0.79574,0.84155,0.500,0.500
33,0.46530,0.99897,0.89344,0.78892,0.84399,0.512,0.488
34,0.44710,0.94975,0.89558,0.80223,0.84619,0.524,0.476
35,0.41808,1.07304,0.89737,0.80663,0.85352,0.532,0.468
36,0.40391,1.02678,0.89762,0.80487,0.84912,0.536,0.464
37,0.38095,1.15152,0.88438,0.78514,0.83862,0.540,0.460
38,0.42945,0.83487,0.89425,0.79756,0.84253,0.534,0.466
39,0.36903,0.98259,0.88394,0.77318,0.83398,0.539,0.461
40,0.37201,0.85389,0.89736,0.80356,0.84839,0.560,0.440
