Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.61210,0.51238,0.83252,0.68177,0.78882,0.439,0.561
2,0.49750,0.47749,0.85270,0.72585,0.77051,0.439,0.561
3,0.47518,0.48764,0.84648,0.71290,0.77051,0.439,0.561
4,0.46530,0.46113,0.86324,0.74326,0.79004,0.439,0.561
5,0.44629,0.46867,0.86041,0.74152,0.77490,0.439,0.561
6,0.43059,0.43652,0.88018,0.77356,0.78564,0.439,0.561
7,0.40501,0.43897,0.88303,0.77331,0.82178,0.439,0.561
8,0.39249,0.41551,0.89308,0.79166,0.82251,0.439,0.561
9,0.35654,0.42926,0.88870,0.78502,0.83081,0.439,0.561
10,0.34366,0.39805,0.90347,0.80786,0.83618,0.439,0.561
11,0.43862,0.47135,0.89127,0.78726,0.83765,0.444,0.556
12,0.57460,0.40423,0.90919,0.82163,0.84180,0.446,0.554
13,0.65444,0.44561,0.89666,0.79828,0.83057,0.447,0.553
14,0.78689,0.41304,0.91160,0.82704,0.84106,0.448,0.552
15,0.85708,0.51616,0.89503,0.79733,0.83838,0.449,0.551
16,1.02080,0.43904,0.90823,0.82480,0.83325,0.447,0.553
17,1.07060,0.49267,0.89738,0.80233,0.79785,0.446,0.554
18,1.21534,0.45462,0.90739,0.82144,0.83179,0.450,0.550
19,1.26306,0.53052,0.89920,0.81196,0.82568,0.452,0.548
20,1.34759,0.54759,0.90815,0.82298,0.83960,0.455,0.545
21,1.27422,0.63005,0.90134,0.81424,0.80615,0.458,0.542
22,1.26145,0.63937,0.90393,0.81762,0.84351,0.465,0.535
23,1.19543,0.68049,0.90284,0.81355,0.84009,0.467,0.533
24,1.17526,0.72148,0.90629,0.82220,0.85181,0.471,0.529
25,1.12747,0.78112,0.89907,0.81123,0.84106,0.473,0.527
26,1.10385,0.78952,0.90276,0.81369,0.84521,0.479,0.521
27,1.06546,0.81915,0.90058,0.80731,0.83765,0.482,0.518
28,1.04229,0.84914,0.90047,0.81327,0.83618,0.486,0.514
29,1.00815,0.83318,0.89150,0.79761,0.81714,0.488,0.512
30,1.06978,0.77640,0.90030,0.80986,0.84204,0.492,0.508
31,0.97524,0.83311,0.89396,0.79993,0.82886,0.494,0.506
32,1.05215,0.67152,0.89957,0.80328,0.83960,0.498,0.502
33,0.93854,0.82074,0.89617,0.80211,0.83862,0.500,0.500
34,0.91560,0.77471,0.90369,0.81299,0.84766,0.504,0.496
35,0.85746,0.83202,0.89984,0.81131,0.83228,0.506,0.494
36,0.83781,0.87005,0.90360,0.81608,0.84644,0.513,0.487
37,0.80362,0.92920,0.90360,0.81392,0.84814,0.517,0.483
38,0.79095,0.91715,0.90145,0.81444,0.84424,0.520,0.480
39,0.76129,0.92491,0.90279,0.81153,0.83545,0.521,0.479
40,0.76180,0.91743,0.90173,0.81170,0.84473,0.523,0.477
41,0.71773,1.04221,0.90405,0.81420,0.84717,0.524,0.476
42,0.70118,1.01387,0.89858,0.80591,0.84033,0.526,0.474
43,0.67258,1.06760,0.89517,0.79840,0.83984,0.527,0.473
44,0.68492,1.02844,0.89530,0.79745,0.83789,0.529,0.471
45,0.63902,1.29268,0.89192,0.79097,0.84424,0.530,0.470
46,0.67395,0.86673,0.89733,0.79668,0.83862,0.532,0.468
47,0.60595,1.04273,0.89275,0.79104,0.83887,0.533,0.467
48,0.60019,0.91119,0.90095,0.80609,0.84229,0.535,0.465
49,0.55935,0.95847,0.90117,0.80686,0.84033,0.536,0.464
50,0.67870,0.70567,0.89401,0.80255,0.74536,0.537,0.463
51,0.57726,0.87590,0.89763,0.80692,0.84741,0.538,0.462
52,0.54906,0.80188,0.90291,0.81966,0.83105,0.538,0.462
53,0.50436,0.90039,0.90357,0.82047,0.84448,0.539,0.461
54,0.48603,0.90805,0.90564,0.82477,0.84424,0.540,0.460
