Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.61690,0.53575,0.82041,0.66885,0.77783,0.496,0.504
2,0.50517,0.48422,0.85101,0.72274,0.75757,0.508,0.492
3,0.47680,0.48675,0.84955,0.71841,0.79395,0.527,0.473
4,0.46695,0.46963,0.86008,0.73604,0.79395,0.546,0.454
5,0.44995,0.51519,0.85640,0.72297,0.80762,0.563,0.437
6,0.43134,0.43720,0.87967,0.76791,0.80151,0.592,0.408
7,0.39931,0.43626,0.88232,0.77735,0.80322,0.629,0.371
8,0.39766,0.41451,0.89383,0.78834,0.82300,0.673,0.327
9,0.35703,0.44658,0.88428,0.78148,0.82642,0.704,0.296
10,0.35721,0.42163,0.89548,0.79543,0.81763,0.736,0.264
11,0.32106,0.43501,0.88780,0.78855,0.82471,0.763,0.237
12,0.33115,0.43791,0.89322,0.78877,0.83472,0.784,0.216
13,0.29659,0.44363,0.88987,0.78242,0.82812,0.801,0.199
14,0.30336,0.42593,0.89964,0.80209,0.83179,0.820,0.180
15,0.26699,0.49347,0.88712,0.78137,0.83813,0.834,0.166
16,0.27804,0.46470,0.89474,0.79299,0.83154,0.849,0.151
17,0.23885,0.46784,0.88460,0.78141,0.81592,0.863,0.137
18,0.25288,0.47250,0.89545,0.79648,0.82715,0.875,0.125
19,0.21493,0.47341,0.88606,0.77760,0.82080,0.884,0.116
20,0.23023,0.51545,0.89114,0.78372,0.82837,0.894,0.106
21,0.37612,0.54491,0.87537,0.76286,0.80786,0.901,0.099
22,0.54301,0.52322,0.89381,0.79221,0.82959,0.908,0.092
23,0.63291,0.59110,0.88276,0.77289,0.82593,0.914,0.086
24,0.78362,0.54465,0.89434,0.79132,0.82471,0.921,0.079
25,0.87209,0.55418,0.89222,0.78862,0.81592,0.925,0.075
26,1.01272,0.60006,0.88937,0.78737,0.82812,0.930,0.070
27,1.09145,0.60756,0.88823,0.78275,0.81787,0.933,0.067
28,1.22322,0.61388,0.89400,0.79776,0.83887,0.935,0.065
29,1.28784,0.62566,0.88616,0.77871,0.82031,0.937,0.063
30,1.41037,0.63067,0.89148,0.78757,0.82593,0.940,0.060
31,1.35013,0.64068,0.88569,0.78261,0.80054,0.942,0.058
32,1.33727,0.68442,0.89372,0.79237,0.83618,0.945,0.055
33,1.27681,0.70682,0.88736,0.78181,0.82397,0.945,0.055
34,1.27435,0.71122,0.89428,0.79477,0.83545,0.943,0.057
35,1.21003,0.79476,0.88206,0.77871,0.82886,0.945,0.055
36,1.21566,0.71622,0.89237,0.78986,0.82300,0.946,0.054
37,1.15820,0.72423,0.88827,0.78257,0.81714,0.949,0.051
38,1.15354,0.75800,0.89696,0.79924,0.83276,0.953,0.047
39,1.09798,0.82357,0.88147,0.76798,0.81885,0.955,0.045
40,1.09294,0.82348,0.89197,0.78639,0.83057,0.957,0.043
41,1.04295,0.85382,0.88528,0.77687,0.82080,0.960,0.040
42,1.05285,0.79389,0.89144,0.78610,0.82666,0.963,0.037
43,0.99888,0.83866,0.88779,0.77728,0.80640,0.964,0.036
44,0.99974,0.82682,0.89192,0.79032,0.83057,0.970,0.030
