Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.63007,0.56771,0.80216,0.63167,0.69409,0.504,0.496
2,0.53762,0.51679,0.82361,0.68799,0.75049,0.504,0.496
3,0.50056,0.52933,0.83538,0.70460,0.68311,0.504,0.496
4,0.47580,0.47085,0.85792,0.74209,0.78223,0.504,0.496
5,0.45322,0.45854,0.86656,0.74960,0.80078,0.504,0.496
6,0.43323,0.43882,0.87786,0.77339,0.80420,0.504,0.496
7,0.40454,0.45651,0.87679,0.76888,0.75293,0.504,0.496
8,0.39375,0.42061,0.88973,0.78714,0.81860,0.504,0.496
9,0.36037,0.42590,0.88809,0.78115,0.82227,0.504,0.496
10,0.35364,0.41768,0.89428,0.79533,0.82300,0.504,0.496
11,0.47091,0.47998,0.88077,0.77351,0.82544,0.506,0.494
12,0.59940,0.42439,0.89667,0.80478,0.82886,0.508,0.492
13,0.70016,0.44745,0.88485,0.78067,0.81519,0.509,0.491
14,0.84800,0.44741,0.89671,0.80178,0.82959,0.510,0.490
15,0.93293,0.46140,0.89101,0.79016,0.81348,0.511,0.489
16,1.08202,0.45903,0.89628,0.80001,0.82227,0.514,0.486
17,1.14822,0.47637,0.88777,0.79062,0.81030,0.516,0.484
18,1.26532,0.48846,0.89421,0.79724,0.83032,0.518,0.482
19,1.33457,0.52295,0.88632,0.78664,0.79663,0.519,0.481
20,1.44734,0.51085,0.89449,0.79482,0.83154,0.522,0.478
21,1.38836,0.59396,0.88622,0.78291,0.83105,0.525,0.475
22,1.35971,0.58457,0.89087,0.79560,0.83057,0.528,0.472
23,1.29114,0.60231,0.88810,0.79176,0.82593,0.530,0.470
24,1.28853,0.60479,0.89164,0.79176,0.83911,0.532,0.468
25,1.21513,0.72026,0.88742,0.78554,0.83960,0.534,0.466
26,1.21912,0.62944,0.89432,0.79924,0.84106,0.538,0.462
27,1.13258,0.73761,0.87286,0.75835,0.81714,0.540,0.460
28,1.13192,0.66754,0.89373,0.80212,0.83984,0.542,0.458
29,1.06567,0.74667,0.88986,0.79028,0.83545,0.544,0.456
30,1.06549,0.72596,0.89571,0.80670,0.84302,0.547,0.453
31,1.00527,0.81613,0.88736,0.79108,0.83472,0.549,0.451
32,0.99041,0.79769,0.89637,0.80674,0.84058,0.551,0.449
33,0.93696,0.97862,0.89002,0.78866,0.83496,0.551,0.449
34,0.93875,0.81773,0.89333,0.80113,0.83862,0.550,0.450
35,0.88107,0.91681,0.88514,0.78376,0.83594,0.549,0.451
36,0.88970,0.84619,0.89616,0.80633,0.84058,0.546,0.454
37,0.82888,0.88770,0.88983,0.79548,0.82715,0.545,0.455
38,0.82497,0.90118,0.89653,0.80212,0.83838,0.544,0.456
39,0.78255,1.04001,0.89083,0.79132,0.84009,0.543,0.457
40,0.79379,0.83347,0.90182,0.80830,0.84644,0.541,0.459
41,0.74970,1.02183,0.89072,0.79140,0.84351,0.541,0.459
42,0.72965,0.96709,0.89350,0.80136,0.84082,0.540,0.460
43,0.69028,1.05618,0.89251,0.79410,0.84521,0.540,0.460
44,0.68617,0.99208,0.89771,0.80496,0.84595,0.539,0.461
45,0.65622,1.02519,0.88709,0.78712,0.81836,0.538,0.462
46,0.68915,0.89993,0.89759,0.80077,0.83691,0.537,0.463
47,0.62001,1.00475,0.89715,0.80337,0.83911,0.536,0.464
48,0.61369,1.03547,0.89421,0.80148,0.83350,0.535,0.465
49,0.57974,1.01376,0.89609,0.80467,0.83325,0.534,0.466
50,0.56967,1.07670,0.89764,0.80530,0.84814,0.533,0.467
51,0.55211,1.13464,0.89607,0.79950,0.84448,0.533,0.467
52,0.54365,1.09179,0.89789,0.80942,0.84790,0.533,0.467
53,0.51916,1.07927,0.89529,0.80390,0.82495,0.532,0.468
54,0.54360,0.98529,0.89638,0.80261,0.84399,0.532,0.468
55,0.49255,1.00407,0.89642,0.80089,0.82568,0.531,0.469
56,0.50315,0.99041,0.89858,0.79969,0.84155,0.531,0.469
57,0.46050,1.06821,0.89844,0.79893,0.83984,0.531,0.469
58,0.45742,1.07307,0.89924,0.80600,0.84619,0.530,0.470
59,0.43640,1.04704,0.89069,0.79186,0.83203,0.530,0.470
60,0.43690,1.09979,0.89638,0.80366,0.84692,0.529,0.471
61,0.41894,1.11814,0.89473,0.80354,0.83716,0.529,0.471
62,0.40809,1.10134,0.89796,0.80784,0.84253,0.528,0.472
63,0.38674,1.24944,0.89463,0.80382,0.84253,0.528,0.472
64,0.39246,1.16908,0.89588,0.79781,0.84131,0.527,0.473
65,0.37199,1.06595,0.89102,0.79266,0.82812,0.527,0.473
66,0.41521,0.99291,0.89535,0.80139,0.84155,0.524,0.476
67,0.36122,1.12796,0.89231,0.79832,0.83960,0.524,0.476
68,0.36616,1.07521,0.89550,0.79985,0.84766,0.523,0.477
69,0.33420,1.16984,0.89699,0.80786,0.85156,0.523,0.477
70,0.32987,1.16180,0.89534,0.80511,0.84277,0.522,0.478
