Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.64919,0.60218,0.76133,0.77028,0.65625,0.544,0.456
2,0.53274,0.50637,0.83028,0.83635,0.74144,0.599,0.401
3,0.47973,0.50483,0.82919,0.84044,0.74312,0.618,0.382
4,0.45831,0.46463,0.86090,0.86269,0.77437,0.634,0.366
5,0.41754,0.47604,0.85546,0.86012,0.76711,0.651,0.349
6,0.39879,0.44783,0.87640,0.88065,0.79613,0.672,0.328
7,0.34527,0.46756,0.86801,0.86835,0.78571,0.712,0.288
8,0.32777,0.44852,0.88328,0.88900,0.80171,0.758,0.242
9,0.26176,0.47379,0.86828,0.87449,0.78720,0.793,0.207
10,0.26723,0.48096,0.88321,0.88658,0.80766,0.815,0.185
11,0.18261,0.72452,0.85024,0.84314,0.75744,0.838,0.162
12,0.22606,0.52321,0.88432,0.88657,0.80748,0.840,0.160
13,0.12957,0.56549,0.87750,0.88380,0.79874,0.850,0.150
14,0.16938,0.57316,0.88489,0.88729,0.80246,0.856,0.144
15,0.08888,0.67816,0.86679,0.86831,0.79092,0.866,0.134
16,0.13454,0.64666,0.88133,0.88425,0.80711,0.835,0.165
17,0.06344,0.73488,0.87518,0.88178,0.79781,0.843,0.157
18,0.10409,0.71430,0.88554,0.88696,0.81101,0.825,0.175
19,0.04848,0.84454,0.87191,0.87123,0.78981,0.830,0.170
20,0.08688,0.78050,0.88019,0.88361,0.80580,0.831,0.169
21,0.73727,0.82126,0.87320,0.86984,0.79836,0.828,0.172
22,0.77475,0.79571,0.88508,0.88548,0.81064,0.807,0.193
23,0.71419,0.89705,0.87813,0.88057,0.79706,0.836,0.164
24,0.74255,0.85709,0.88349,0.88469,0.80766,0.851,0.149
25,0.69125,0.85417,0.87691,0.87801,0.80060,0.853,0.147
26,0.71943,0.83340,0.88613,0.88758,0.80692,0.830,0.170
27,0.66347,0.90444,0.87462,0.87891,0.79948,0.843,0.157
28,0.68111,0.86775,0.88375,0.88774,0.80673,0.840,0.160
29,0.63416,0.98501,0.88278,0.88754,0.80599,0.842,0.158
30,0.64656,0.93889,0.88651,0.88948,0.80934,0.857,0.143
31,0.60544,0.97281,0.87634,0.88317,0.80041,0.862,0.138
32,0.62655,0.90392,0.88735,0.89062,0.80859,0.874,0.126
33,0.58122,0.91330,0.89085,0.89455,0.81417,0.871,0.129
34,0.59004,0.95236,0.88897,0.89180,0.80841,0.876,0.124
35,0.54818,1.09887,0.88533,0.88826,0.80394,0.873,0.127
36,0.56368,0.99179,0.88593,0.88876,0.81101,0.862,0.138
37,0.52097,0.99975,0.88991,0.89112,0.81510,0.853,0.147
38,0.52222,1.07647,0.88355,0.88343,0.81138,0.844,0.156
39,0.49166,1.11829,0.88464,0.88653,0.80748,0.840,0.160
40,0.49924,1.06802,0.88687,0.88820,0.80952,0.869,0.131
41,0.46653,1.03320,0.88476,0.88881,0.81213,0.869,0.131
42,0.52928,0.90852,0.87726,0.88226,0.79892,0.850,0.150
43,0.47858,0.91547,0.87478,0.88226,0.79632,0.841,0.159
44,0.47857,0.91508,0.88851,0.89369,0.81008,0.832,0.168
45,0.42974,1.03864,0.88272,0.88826,0.80301,0.828,0.172
46,0.44106,0.95286,0.88747,0.89124,0.81715,0.829,0.171
47,0.41452,1.11035,0.87587,0.87534,0.80190,0.837,0.163
48,0.42650,0.97158,0.88812,0.89462,0.81678,0.823,0.177
49,0.39857,1.09242,0.88533,0.89125,0.81287,0.815,0.185
50,0.41253,0.98357,0.89173,0.89462,0.81603,0.813,0.187
51,0.39627,0.99615,0.86693,0.87020,0.78404,0.809,0.191
52,0.42169,0.96316,0.88250,0.88504,0.80952,0.799,0.201
53,0.37150,1.10012,0.88313,0.88485,0.80618,0.805,0.195
