Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.64664,0.58563,0.75779,0.76458,0.68043,0.356,0.644
2,0.56191,0.54147,0.80205,0.81160,0.72061,0.344,0.656
3,0.52247,0.52612,0.81518,0.82666,0.71949,0.349,0.651
4,0.48412,0.47158,0.85375,0.86065,0.76637,0.354,0.646
5,0.43084,0.47001,0.85770,0.86331,0.76842,0.375,0.625
6,0.40894,0.45613,0.87188,0.87626,0.78739,0.401,0.599
7,0.35997,0.46687,0.87031,0.87334,0.78720,0.422,0.578
8,0.34558,0.45235,0.88302,0.88414,0.80115,0.436,0.564
9,0.29404,0.52901,0.84792,0.84643,0.76023,0.456,0.544
10,0.28984,0.48741,0.88319,0.88462,0.79929,0.453,0.547
11,0.22116,0.54346,0.87705,0.87806,0.77604,0.493,0.507
12,0.23815,0.51341,0.88588,0.88645,0.80394,0.520,0.480
13,0.16351,0.56735,0.86861,0.87466,0.78051,0.537,0.463
14,0.18187,0.53930,0.89279,0.89561,0.80841,0.548,0.452
15,0.11977,0.73138,0.87518,0.87263,0.78609,0.579,0.421
16,0.15624,0.60234,0.89366,0.89545,0.81045,0.639,0.361
17,0.08411,0.67880,0.88658,0.88630,0.80599,0.663,0.337
18,0.11899,0.65011,0.89138,0.89182,0.80785,0.688,0.312
19,0.05770,0.74308,0.88834,0.88992,0.80804,0.714,0.286
20,0.08576,0.72012,0.89315,0.89404,0.80859,0.745,0.255
21,0.03791,0.86758,0.88161,0.88184,0.79967,0.761,0.239
22,0.09906,0.79271,0.88832,0.88816,0.80673,0.765,0.235
23,0.03567,0.87034,0.89227,0.89247,0.80580,0.778,0.222
24,0.05996,0.87823,0.89493,0.89662,0.81845,0.790,0.210
25,0.02326,0.90617,0.88797,0.88959,0.81008,0.798,0.202
26,0.74878,0.86670,0.89621,0.89687,0.81399,0.804,0.196
27,0.71727,1.07156,0.88925,0.89032,0.80804,0.804,0.196
28,0.78119,0.81382,0.89556,0.89878,0.81231,0.802,0.198
29,0.71089,0.92896,0.89135,0.88911,0.81510,0.801,0.199
30,0.73052,0.83191,0.89706,0.90125,0.81752,0.806,0.194
31,0.68301,0.88912,0.89963,0.90394,0.81957,0.810,0.190
32,0.67696,0.97944,0.89996,0.90447,0.82180,0.785,0.215
33,0.65664,1.07525,0.89943,0.90296,0.81622,0.789,0.211
34,0.65569,1.02995,0.89970,0.90296,0.82031,0.794,0.206
35,0.63695,1.13896,0.89581,0.90117,0.81492,0.794,0.206
36,0.70909,0.77471,0.90168,0.90319,0.82254,0.777,0.223
37,0.63526,0.92507,0.89076,0.89113,0.81362,0.760,0.240
38,0.63594,0.85469,0.90360,0.90489,0.82608,0.754,0.246
39,0.59950,0.95869,0.90158,0.90282,0.82496,0.751,0.249
40,0.59790,0.93003,0.90348,0.90688,0.82719,0.751,0.249
41,0.57108,0.98758,0.90593,0.90894,0.82943,0.759,0.241
42,0.56814,0.99572,0.90376,0.90355,0.83240,0.764,0.236
43,0.54892,1.14453,0.89927,0.90281,0.82068,0.761,0.239
44,0.56595,0.97171,0.90438,0.90662,0.83017,0.736,0.264
45,0.52950,1.11400,0.89964,0.90192,0.81678,0.741,0.259
46,0.54282,0.92940,0.90375,0.90556,0.82329,0.744,0.256
47,0.50227,0.95278,0.89996,0.90061,0.82422,0.752,0.248
48,0.49664,0.98923,0.90623,0.91019,0.82831,0.744,0.256
49,0.47449,1.02377,0.90095,0.90325,0.82329,0.749,0.251
50,0.46820,1.00571,0.90812,0.91211,0.83333,0.739,0.261
51,0.44933,1.04823,0.90600,0.91079,0.82124,0.737,0.263
52,0.45681,1.00031,0.90654,0.90956,0.82812,0.716,0.284
53,0.42917,1.19310,0.90110,0.90666,0.82292,0.713,0.287
54,0.45085,0.96048,0.90573,0.91081,0.83036,0.674,0.326
55,0.40661,1.04983,0.90744,0.91279,0.83240,0.663,0.337
56,0.39782,1.00592,0.90875,0.91426,0.83166,0.678,0.322
57,0.38257,1.20775,0.90564,0.90955,0.82943,0.675,0.325
58,0.38001,1.03990,0.90823,0.91344,0.82906,0.685,0.315
59,0.36601,1.02255,0.89838,0.90103,0.81715,0.688,0.312
60,0.39995,0.91342,0.90583,0.90898,0.82645,0.617,0.383
61,0.34793,0.98157,0.90710,0.91126,0.82906,0.618,0.382
62,0.34697,0.94805,0.90681,0.90936,0.82980,0.645,0.355
63,0.33279,1.05878,0.90651,0.91050,0.82254,0.660,0.340
64,0.32536,1.04673,0.90883,0.91306,0.83222,0.676,0.324
65,0.31516,1.12802,0.90173,0.90171,0.82385,0.682,0.318
66,0.35754,0.89477,0.90473,0.90869,0.82440,0.669,0.331
67,0.30867,0.99122,0.90848,0.91063,0.82571,0.669,0.331
68,0.30257,1.05353,0.90942,0.91432,0.83743,0.679,0.321
69,0.29176,1.09062,0.90734,0.91204,0.82999,0.688,0.312
70,0.28775,1.10719,0.90791,0.91176,0.83036,0.695,0.305
71,0.28094,1.21241,0.90295,0.90874,0.82496,0.691,0.309
72,0.30287,1.04657,0.90717,0.91033,0.82682,0.678,0.322
73,0.27331,1.12250,0.90551,0.90991,0.82831,0.678,0.322
74,0.28066,1.04098,0.90949,0.91437,0.83259,0.678,0.322
75,0.26233,1.12452,0.90717,0.91092,0.82999,0.675,0.325
76,0.27852,0.98972,0.90790,0.91171,0.83092,0.648,0.352
77,0.26283,1.24261,0.89579,0.90270,0.80692,0.651,0.349
78,0.27836,0.99791,0.90675,0.91190,0.83110,0.660,0.340
79,0.24791,1.02975,0.90903,0.91347,0.83203,0.668,0.332
80,0.24320,1.08431,0.90945,0.91508,0.83036,0.671,0.329
81,0.23636,1.10622,0.90722,0.91314,0.82812,0.672,0.328
82,0.23426,1.11414,0.91006,0.91572,0.83166,0.674,0.326
83,0.22734,1.20776,0.90754,0.91305,0.83296,0.676,0.324
84,0.22576,1.14578,0.90923,0.91320,0.83389,0.697,0.303
85,0.21927,1.23437,0.90979,0.91579,0.83036,0.701,0.299
86,0.22799,1.11376,0.90882,0.91412,0.83222,0.710,0.290
87,0.21548,1.21846,0.90284,0.90757,0.82757,0.713,0.287
88,0.24054,1.03310,0.90557,0.91118,0.83333,0.701,0.299
89,0.20766,1.09611,0.90831,0.91217,0.82868,0.694,0.306
90,0.20864,1.12217,0.90881,0.91463,0.83259,0.697,0.303
91,0.19874,1.18210,0.91010,0.91534,0.83426,0.701,0.299
92,0.19688,1.17012,0.91106,0.91689,0.83464,0.706,0.294
93,0.18998,1.22220,0.90809,0.91255,0.82943,0.713,0.287
94,0.19049,1.19196,0.91040,0.91575,0.83910,0.715,0.285
95,0.18601,1.17805,0.90000,0.90405,0.82180,0.710,0.290
96,0.20431,1.14623,0.90512,0.91020,0.82571,0.698,0.302
97,0.18210,1.20642,0.90080,0.90545,0.82087,0.693,0.307
98,0.20150,1.09360,0.90557,0.91040,0.82552,0.715,0.285
99,0.17595,1.23385,0.90209,0.90584,0.83017,0.706,0.294
100,0.18485,1.06568,0.90680,0.91187,0.82719,0.720,0.280
101,0.16829,1.12726,0.90657,0.91110,0.82403,0.725,0.275
102,0.16751,1.15766,0.90582,0.91180,0.82887,0.727,0.273
103,0.16051,1.18689,0.90747,0.91305,0.83110,0.721,0.279
104,0.15811,1.16088,0.90872,0.91378,0.82887,0.725,0.275
105,0.15451,1.21336,0.90941,0.91620,0.82757,0.722,0.278
106,0.15536,1.16929,0.90890,0.91446,0.83166,0.713,0.287
107,0.14976,1.22375,0.90439,0.91042,0.82310,0.702,0.298
108,0.16508,1.05949,0.90834,0.91537,0.82831,0.672,0.328
109,0.15093,1.15278,0.89711,0.90399,0.81901,0.665,0.335
110,0.17642,0.98416,0.90571,0.91063,0.82999,0.644,0.356
111,0.14130,1.03134,0.90553,0.91046,0.83036,0.633,0.367
