Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.64845,0.58750,0.74816,0.75583,0.67132,0.545,0.455
2,0.55208,0.52863,0.80680,0.81337,0.71540,0.545,0.455
3,0.51334,0.52490,0.81273,0.81677,0.72749,0.545,0.455
4,0.47383,0.46934,0.85605,0.85381,0.76693,0.545,0.455
5,0.43058,0.49829,0.84895,0.84787,0.75223,0.545,0.455
6,0.41150,0.44581,0.87529,0.87317,0.79055,0.545,0.455
7,0.36037,0.49779,0.86231,0.86335,0.77158,0.545,0.455
8,0.35128,0.43580,0.88657,0.88549,0.80022,0.545,0.455
9,0.29725,0.51599,0.87359,0.86914,0.78627,0.545,0.455
10,0.29760,0.46309,0.89024,0.88573,0.80618,0.545,0.455
11,0.37809,0.48893,0.87231,0.87002,0.78423,0.549,0.451
12,0.52796,0.49043,0.89027,0.88744,0.80562,0.550,0.450
13,0.59816,0.55552,0.86477,0.86417,0.78330,0.550,0.450
14,0.75560,0.52571,0.88959,0.88758,0.80729,0.549,0.451
15,0.81780,0.57440,0.87150,0.87236,0.78571,0.548,0.452
16,0.97645,0.57644,0.89073,0.88801,0.80543,0.548,0.452
17,1.02799,0.62681,0.88496,0.88413,0.80394,0.548,0.452
18,1.16214,0.62254,0.88960,0.88655,0.80990,0.546,0.454
19,1.20183,0.70202,0.87779,0.87288,0.79557,0.545,0.455
20,1.31430,0.66421,0.89225,0.89129,0.80729,0.543,0.457
21,1.24094,0.73471,0.87013,0.87260,0.78739,0.543,0.457
22,1.22509,0.72927,0.89002,0.88663,0.81157,0.543,0.457
23,1.14485,0.81434,0.87426,0.86710,0.79353,0.541,0.459
24,1.14458,0.78330,0.89292,0.88920,0.81027,0.539,0.461
25,1.07321,0.83481,0.88545,0.87982,0.80153,0.538,0.462
26,1.07028,0.76817,0.89171,0.88876,0.80841,0.536,0.464
27,0.99241,0.86554,0.88259,0.87820,0.80227,0.535,0.465
28,0.99460,0.82171,0.88880,0.88699,0.80748,0.533,0.467
29,0.91883,0.92125,0.88007,0.87382,0.80078,0.531,0.469
30,0.91267,0.85302,0.89462,0.89465,0.80915,0.529,0.471
31,0.85994,0.91498,0.88780,0.89019,0.81213,0.529,0.471
32,0.85204,0.86645,0.89320,0.89337,0.80915,0.526,0.474
33,0.79369,0.99356,0.88852,0.89020,0.81269,0.525,0.475
34,0.78636,0.86552,0.89715,0.89840,0.81436,0.522,0.478
35,0.73333,0.97443,0.88107,0.87476,0.80097,0.521,0.479
36,0.73925,0.86636,0.89501,0.89565,0.81101,0.519,0.481
37,0.68223,0.94672,0.89241,0.89347,0.80339,0.518,0.482
38,0.68004,0.88858,0.89597,0.89579,0.81696,0.516,0.484
39,0.63146,0.98880,0.89544,0.89491,0.80822,0.515,0.485
40,0.62629,0.92209,0.89966,0.89919,0.81882,0.513,0.487
41,0.58939,0.92739,0.89563,0.89378,0.81380,0.512,0.488
42,0.58115,0.96120,0.89948,0.90009,0.81380,0.510,0.490
43,0.54791,0.98197,0.88722,0.88928,0.80766,0.508,0.492
44,0.55795,0.89621,0.89691,0.89508,0.81920,0.507,0.493
45,0.51123,0.99852,0.89255,0.89134,0.80636,0.506,0.494
46,0.51939,0.91540,0.89758,0.89610,0.81380,0.504,0.496
47,0.47365,0.99890,0.89629,0.89814,0.81417,0.504,0.496
48,0.47941,0.94868,0.89845,0.89666,0.82087,0.502,0.498
49,0.44381,0.97168,0.89421,0.89188,0.81734,0.501,0.499
50,0.45750,0.91891,0.89575,0.89343,0.81566,0.500,0.500
51,0.41654,1.06141,0.89620,0.89403,0.81845,0.500,0.500
52,0.42160,0.95425,0.90082,0.90110,0.81696,0.499,0.501
53,0.38944,1.12109,0.89588,0.89556,0.80562,0.499,0.501
54,0.39833,0.98907,0.89877,0.89750,0.82217,0.498,0.502
55,0.36545,1.08251,0.89688,0.89759,0.80692,0.497,0.503
56,0.38044,0.97248,0.89928,0.89748,0.81920,0.497,0.503
57,0.35033,1.16604,0.88950,0.88582,0.80432,0.496,0.504
58,0.38467,0.87136,0.90077,0.89936,0.81938,0.495,0.505
59,0.32677,1.00261,0.90028,0.89757,0.82459,0.495,0.505
60,0.32211,1.00291,0.90390,0.90384,0.82533,0.494,0.506
61,0.30528,1.06589,0.90157,0.90229,0.82292,0.494,0.506
62,0.29932,1.12271,0.90143,0.90204,0.81641,0.493,0.507
63,0.28811,1.04582,0.89676,0.89744,0.82124,0.493,0.507
64,0.30228,1.02637,0.89782,0.89511,0.82068,0.492,0.508
65,0.28148,1.06800,0.89282,0.88658,0.81864,0.492,0.508
66,0.30314,0.93330,0.90158,0.90183,0.81622,0.491,0.509
67,0.26222,1.04557,0.89497,0.89446,0.81176,0.490,0.510
68,0.27113,0.97669,0.90263,0.90514,0.82403,0.489,0.511
69,0.24814,1.06401,0.90032,0.90134,0.82013,0.489,0.511
70,0.26129,1.02846,0.90050,0.90060,0.82385,0.488,0.512
71,0.24256,1.13915,0.89990,0.89840,0.82850,0.488,0.512
72,0.26546,0.93922,0.90235,0.90266,0.82050,0.487,0.513
73,0.22582,1.04208,0.90342,0.90458,0.82180,0.487,0.513
74,0.23212,1.02014,0.90297,0.90179,0.82626,0.487,0.513
75,0.21497,1.06465,0.90048,0.89889,0.82329,0.486,0.514
76,0.22014,1.04852,0.90291,0.90275,0.82719,0.486,0.514
77,0.20650,1.11200,0.89238,0.88645,0.80822,0.486,0.514
78,0.22827,0.94503,0.90341,0.90122,0.82515,0.486,0.514
79,0.19988,1.00265,0.90145,0.90091,0.82273,0.485,0.515
80,0.20736,1.03743,0.90425,0.90290,0.82161,0.485,0.515
