Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.63679,0.59278,0.75847,0.75992,0.68601,0.331,0.669
2,0.54583,0.50401,0.83049,0.83877,0.75056,0.312,0.688
3,0.47934,0.55074,0.84604,0.85583,0.73047,0.346,0.654
4,0.42962,0.44795,0.87144,0.87610,0.79353,0.377,0.623
5,0.37317,0.46030,0.86768,0.87283,0.78348,0.388,0.612
6,0.35263,0.41938,0.89551,0.90033,0.81250,0.394,0.606
7,0.27524,0.52550,0.87655,0.88070,0.76507,0.415,0.585
8,0.25428,0.42822,0.90680,0.90942,0.83352,0.420,0.580
9,0.18004,0.50298,0.88723,0.89352,0.80022,0.458,0.542
10,0.17642,0.45385,0.91472,0.91825,0.84208,0.492,0.508
11,0.10068,0.63990,0.88822,0.89162,0.77418,0.545,0.455
12,0.12654,0.51153,0.91297,0.91607,0.84096,0.578,0.422
13,0.05174,0.61972,0.89356,0.89645,0.81994,0.619,0.381
14,0.10561,0.55864,0.91329,0.91597,0.84040,0.643,0.357
15,0.02954,0.65680,0.89663,0.89722,0.82180,0.663,0.337
16,0.08124,0.64517,0.91334,0.91441,0.84468,0.695,0.305
17,0.01943,0.68982,0.90855,0.91082,0.83594,0.712,0.288
18,0.05726,0.64962,0.91637,0.91843,0.84375,0.721,0.279
19,0.01744,0.70438,0.91088,0.91133,0.83222,0.733,0.267
20,0.05446,0.68447,0.91473,0.91479,0.83966,0.741,0.259
21,0.01060,0.80661,0.91181,0.91177,0.83464,0.758,0.242
22,0.03876,0.75371,0.91488,0.91478,0.84598,0.732,0.268
23,0.01220,0.88050,0.90665,0.90660,0.83352,0.737,0.263
24,0.05719,0.71861,0.91289,0.91279,0.84561,0.723,0.277
25,0.01472,0.79569,0.91211,0.91214,0.83873,0.711,0.289
26,0.74182,0.73025,0.91612,0.91744,0.84356,0.740,0.260
27,0.70299,0.85699,0.91426,0.91584,0.83705,0.770,0.230
28,0.72327,0.76115,0.91427,0.91607,0.84598,0.770,0.230
29,0.68476,0.92438,0.90525,0.90871,0.83538,0.776,0.224
30,0.70985,0.74520,0.91476,0.91562,0.84263,0.788,0.212
31,0.66175,0.85307,0.91178,0.91329,0.83092,0.783,0.217
32,0.67767,0.76166,0.91460,0.91274,0.84487,0.782,0.218
33,0.63672,0.97106,0.90889,0.90695,0.84096,0.786,0.214
34,0.63605,0.86130,0.91267,0.91184,0.83984,0.737,0.263
35,0.61017,0.93993,0.91262,0.91454,0.84208,0.725,0.275
36,0.60626,0.89065,0.91430,0.91459,0.84375,0.708,0.292
37,0.58778,0.90124,0.90848,0.90818,0.83761,0.704,0.296
38,0.61402,0.73409,0.91304,0.91299,0.84282,0.688,0.312
39,0.55616,0.85734,0.91634,0.91767,0.84766,0.693,0.307
40,0.54447,0.86634,0.91714,0.91916,0.84449,0.711,0.289
41,0.52448,0.90649,0.91510,0.91734,0.84542,0.705,0.295
42,0.51071,0.89237,0.91789,0.91999,0.84728,0.683,0.317
43,0.49566,0.89312,0.91611,0.91885,0.84561,0.685,0.315
44,0.48301,0.87429,0.91861,0.92245,0.84896,0.686,0.314
45,0.46456,1.05221,0.91228,0.91500,0.83445,0.683,0.317
46,0.50062,0.73887,0.91412,0.91547,0.84561,0.662,0.338
47,0.44674,0.90615,0.90923,0.91004,0.83036,0.659,0.341
48,0.44684,0.77287,0.92028,0.92226,0.85007,0.729,0.271
49,0.41439,0.82665,0.91915,0.92183,0.85100,0.744,0.256
50,0.41438,0.81973,0.91902,0.92176,0.85249,0.739,0.261
51,0.38924,0.92665,0.91355,0.91943,0.84766,0.746,0.254
52,0.37893,0.92377,0.91777,0.92208,0.85435,0.749,0.251
53,0.36425,0.96869,0.91703,0.92057,0.84896,0.751,0.249
54,0.35595,0.98877,0.91752,0.91931,0.84859,0.756,0.244
