Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.66554,0.60391,0.73330,0.75586,0.64881,0.362,0.638
2,0.56254,0.54271,0.79693,0.81118,0.71447,0.362,0.638
3,0.51995,0.53594,0.80963,0.82356,0.71540,0.362,0.638
4,0.47777,0.46876,0.85645,0.86278,0.76730,0.362,0.638
5,0.42630,0.49237,0.84239,0.85013,0.75837,0.362,0.638
6,0.41078,0.46145,0.86910,0.87213,0.78850,0.362,0.638
7,0.35929,0.49680,0.86248,0.86791,0.78088,0.362,0.638
8,0.34743,0.46124,0.87867,0.88275,0.79688,0.362,0.638
9,0.29081,0.57983,0.80813,0.81590,0.73065,0.362,0.638
10,0.29388,0.49689,0.87557,0.88061,0.79167,0.362,0.638
11,0.22263,0.52106,0.86383,0.86995,0.76897,0.362,0.638
12,0.23191,0.52629,0.88110,0.88550,0.79650,0.362,0.638
13,0.16146,0.58103,0.85914,0.86332,0.77660,0.362,0.638
14,0.18672,0.55544,0.88508,0.88808,0.80153,0.362,0.638
15,0.11833,0.65927,0.87811,0.88149,0.79985,0.362,0.638
16,0.15675,0.61003,0.88553,0.88998,0.80636,0.362,0.638
17,0.08145,0.73931,0.87289,0.87637,0.78869,0.362,0.638
18,0.11191,0.68458,0.88160,0.88414,0.79539,0.362,0.638
19,0.06226,0.74807,0.87056,0.87361,0.78943,0.362,0.638
20,0.12168,0.71225,0.88242,0.88545,0.79669,0.362,0.638
21,0.75513,0.86561,0.86762,0.87570,0.78385,0.362,0.638
22,0.79856,0.72719,0.88617,0.88847,0.80450,0.360,0.640
23,0.72438,0.80431,0.88018,0.88354,0.78311,0.360,0.640
24,0.73142,0.87300,0.88495,0.88747,0.79948,0.360,0.640
25,0.69880,0.89776,0.87145,0.87879,0.78218,0.360,0.640
26,0.72929,0.83324,0.88651,0.89039,0.80208,0.359,0.641
27,0.68015,0.92361,0.88884,0.89199,0.80432,0.359,0.641
