Epoch,Train_Loss,Valid_Loss,Valid_AUC,Valid_PRC,Accuracy,Drug_Weight_2D,Prot_Weight_2D
1,0.64731,0.59183,0.76583,0.77421,0.68731,0.361,0.639
2,0.55305,0.52265,0.81487,0.82460,0.72842,0.342,0.658
3,0.49967,0.50934,0.83168,0.84143,0.74981,0.351,0.649
4,0.45134,0.46024,0.86706,0.87345,0.78199,0.386,0.614
5,0.39580,0.49108,0.85668,0.86180,0.76897,0.410,0.590
6,0.37011,0.44379,0.88296,0.88370,0.80097,0.437,0.563
7,0.30634,0.47750,0.87798,0.87927,0.79241,0.466,0.534
8,0.28463,0.44787,0.89641,0.89606,0.81771,0.490,0.510
9,0.21331,0.47539,0.87289,0.87108,0.79390,0.525,0.475
10,0.21256,0.47586,0.90110,0.90242,0.82738,0.549,0.451
11,0.13621,0.51538,0.87919,0.87925,0.78981,0.593,0.407
12,0.16303,0.50921,0.90607,0.90577,0.83054,0.658,0.342
13,0.08458,0.59820,0.89304,0.89563,0.81306,0.687,0.313
14,0.11579,0.57482,0.90766,0.90663,0.82868,0.722,0.278
15,0.05435,0.81847,0.88906,0.89119,0.81064,0.740,0.260
16,0.09801,0.61005,0.90821,0.90792,0.83352,0.747,0.253
17,0.03692,0.76419,0.89918,0.89875,0.82087,0.756,0.244
18,0.06885,0.67449,0.90903,0.91066,0.83185,0.757,0.243
19,0.02656,0.77739,0.90176,0.90026,0.81845,0.761,0.239
20,0.06423,0.71822,0.91086,0.91145,0.82812,0.775,0.225
21,0.01825,0.80514,0.90469,0.90636,0.82645,0.778,0.222
22,0.05680,0.72629,0.90610,0.90605,0.82850,0.816,0.184
23,0.02013,0.83288,0.90423,0.90580,0.82943,0.828,0.172
24,0.05212,0.79025,0.91011,0.91022,0.83575,0.765,0.235
25,0.01900,0.81811,0.90060,0.90362,0.82812,0.749,0.251
26,0.07836,0.69147,0.90959,0.91157,0.83259,0.749,0.251
27,0.01798,0.82500,0.90686,0.90876,0.83147,0.749,0.251
28,0.12998,0.55277,0.90396,0.90300,0.82608,0.688,0.312
29,0.07368,0.70566,0.89599,0.88937,0.82180,0.657,0.343
30,0.04307,0.74662,0.91191,0.91362,0.83650,0.687,0.313
31,0.00874,0.84217,0.90824,0.90916,0.83166,0.701,0.299
32,0.01634,0.90149,0.91255,0.91612,0.83352,0.714,0.286
33,0.00852,1.02889,0.90883,0.91245,0.82608,0.716,0.284
34,0.02167,0.95072,0.91112,0.91410,0.83315,0.710,0.290
35,0.00730,1.03153,0.90482,0.90823,0.82738,0.715,0.285
36,0.03263,0.91788,0.91296,0.91487,0.83780,0.718,0.282
37,0.01221,1.05048,0.90314,0.90494,0.82106,0.716,0.284
38,0.05152,0.82955,0.91225,0.91492,0.83687,0.709,0.291
39,0.14082,0.53037,0.84444,0.84555,0.76116,0.695,0.305
40,0.43963,0.49007,0.85251,0.85691,0.76376,0.649,0.351
41,0.39276,0.48995,0.86214,0.86492,0.77158,0.657,0.343
42,0.35030,0.48175,0.87290,0.87640,0.78925,0.704,0.296
43,0.30539,0.49923,0.87236,0.87365,0.78832,0.713,0.287
44,0.28660,0.49469,0.88510,0.88769,0.80450,0.702,0.298
45,0.25037,0.53871,0.87001,0.87311,0.78832,0.716,0.284
46,0.24571,0.53846,0.88573,0.88913,0.80469,0.711,0.289
47,0.20370,0.56579,0.87608,0.87691,0.79799,0.724,0.276
48,0.21365,0.54735,0.88233,0.87814,0.80692,0.713,0.287
49,0.17326,0.63381,0.87441,0.86504,0.78702,0.712,0.288
50,0.18266,0.56730,0.88669,0.88333,0.81027,0.687,0.313
51,0.14467,0.61379,0.87672,0.87011,0.79669,0.714,0.286
52,0.15949,0.62652,0.88818,0.88451,0.81176,0.687,0.313
53,0.12526,0.69580,0.88785,0.88605,0.80952,0.688,0.312
54,0.13447,0.68880,0.89224,0.89192,0.82124,0.801,0.199
55,0.10549,0.71659,0.88298,0.88663,0.80562,0.824,0.176
56,0.12007,0.70001,0.89493,0.89289,0.82199,0.827,0.173
